date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2026-07-17 00:00:00+03:00,4379.0,4390.0,4379.0,4386.0,1982,0.0,0.0,0.0
2026-07-20 00:00:00+03:00,4383.0,4390.0,4383.0,4385.0,2299,0.0,0.0,0.0
2026-07-21 00:00:00+03:00,4385.0,4393.0,4384.0,4386.0,2841,0.0,0.0,0.0
2026-07-22 00:00:00+03:00,4387.0,4396.0,4386.0,4393.0,2066,0.0,0.0,0.0
2026-07-23 00:00:00+03:00,4399.0,4403.0,4393.0,4395.0,2612,0.0,0.0,0.0
2026-07-24 00:00:00+03:00,4396.0,4409.0,4396.0,4409.0,3644,0.0,0.0,0.0
2026-07-27 00:00:00+03:00,4408.0,4410.0,4400.0,4408.0,3797,0.0,0.0,0.0
2026-07-28 00:00:00+03:00,4408.0,4408.0,4401.0,4407.0,3877,0.0,0.0,0.0
2026-07-29 00:00:00+03:00,4406.0,4410.0,4402.0,4407.0,2272,0.0,0.0,0.0
2026-07-30 00:00:00+03:00,4410.0,4414.0,4407.0,4407.0,3554,0.0,0.0,0.0
2026-07-31 00:00:00+03:00,4408.0,4427.0,4408.0,4419.0,4690,0.0,0.0,0.0
2026-08-03 00:00:00+03:00,4417.0,4425.0,4414.0,4424.0,3230,0.0,0.0,0.0
2026-08-04 00:00:00+03:00,4424.0,4424.0,4416.0,4418.0,3439,0.0,0.0,0.0
2026-08-05 00:00:00+03:00,4420.0,4421.0,4415.0,4420.0,1895,0.0,0.0,0.0
2026-08-06 00:00:00+03:00,4424.0,4426.0,4422.0,4422.0,2930,0.0,0.0,0.0
2026-08-07 00:00:00+03:00,4427.0,4430.0,4424.0,4429.0,4240,0.0,0.0,0.0
2026-08-10 00:00:00+03:00,4429.0,4431.0,4424.0,4431.0,3939,0.0,0.0,0.0
2026-08-11 00:00:00+03:00,4432.0,4435.0,4427.0,4435.0,3653,0.0,0.0,0.0
