date,open,high,low,close,volume,dividends,stock_splits
2020-08-14 00:00:00+03:00,0.5695339952214774,0.5714393598037808,0.5562010763194161,0.5638197660446167,21078369,0.0,0.0
2020-08-17 00:00:00+03:00,0.5638197660446167,0.5809634141112849,0.5485814825602519,0.5638197660446167,35636738,0.0,0.0
2020-08-18 00:00:00+03:00,0.5619152281299733,0.5790579698024101,0.5600098638100066,0.5676294565200806,37031862,0.0,0.0
2020-08-19 00:00:00+03:00,0.5714393683453725,0.5752482329968628,0.5657251390830983,0.5695340037345886,34183252,0.0,0.0
2020-08-20 00:00:00+03:00,0.5714393781751531,0.5847722975058585,0.565725148814584,0.5809634327888489,42498037,0.0,0.0
2020-08-21 00:00:00+03:00,0.5885820123202612,0.5923918372242623,0.5676295009054777,0.5714393258094788,39502950,0.0,0.0
2020-08-24 00:00:00+03:00,0.571439281126175,0.5809633341223769,0.5657250527360678,0.5676294565200806,28613987,0.0,0.0
2020-08-25 00:00:00+03:00,0.5714393322835845,0.575248196694709,0.5542956850425446,0.5619152784347534,32776493,0.0,0.0
2020-08-26 00:00:00+03:00,0.5581054949328631,0.5695339524278739,0.5523912661853577,0.5657250881195068,46747409,0.0,0.0
2020-08-27 00:00:00+03:00,0.569533926044277,0.5828677473607382,0.5638196975614826,0.5733436942100525,88428104,0.0,0.0
2020-08-28 00:00:00+03:00,0.5752482243983381,0.5752482243983381,0.5562010763194161,0.5638197660446167,34315273,0.0,0.0
2020-08-31 00:00:00+03:00,0.5619152632751258,0.5790580060197603,0.540961848154333,0.5657250881195068,59373983,0.0,0.0
2020-09-01 00:00:00+03:00,0.5638197236803685,0.5695339524278739,0.554295670088482,0.5657250881195068,44717102,0.0,0.0
2020-09-02 00:00:00+03:00,0.5657251306269202,0.5695339952214774,0.5600099409139733,0.5638197660446167,35026856,0.0,0.0
2020-09-03 00:00:00+03:00,0.5657250944431269,0.5676294983675384,0.5542956762843452,0.5562010407447815,21040054,0.0,0.0
2020-09-04 00:00:00+03:00,0.5542957270253959,0.5619153209947195,0.5523913229266523,0.5600099563598633,22102695,0.0,0.0
2020-09-07 00:00:00+03:00,0.5600098988359874,0.5695339524278739,0.5581054949328631,0.5657250881195068,43506093,0.0,0.0
2020-09-08 00:00:00+03:00,0.5695339865340412,0.5771535801769793,0.5562010678353547,0.5581055283546448,90686142,0.0,0.0
2020-09-09 00:00:00+03:00,0.5581055522611198,0.5657251462304435,0.556201091660252,0.5600099563598633,49599786,0.0,0.0
2020-09-10 00:00:00+03:00,0.5619152969250529,0.5695339865340412,0.5562010678353547,0.5581055283546448,61780076,0.0,0.0
2020-09-11 00:00:00+03:00,0.5581055011713121,0.5638197299826906,0.5542956762843452,0.5562010407447815,36681716,0.0,0.0
2020-09-14 00:00:00+03:00,0.5581054955581922,0.577153546261189,0.5562010351508155,0.5752481818199158,74797659,0.0,0.0
2020-09-15 00:00:00+03:00,0.5752481667557879,0.5828677597514333,0.5619152491897471,0.5790579915046692,119321897,0.0,0.0
2020-09-16 00:00:00+03:00,0.586677610874176,0.5962016081533561,0.5809633820130268,0.586677610874176,110029548,0.0,0.0
