date,open,high,low,close,volume,dividends,stock_splits
2020-08-12,360.54371419285224,364.9406133016616,345.6543036533711,347.5529479980469,361693,0.0,0.0
2020-08-13,347.55293584684085,349.0518703553739,336.4608448804167,337.0603942871094,170421,0.0,0.0
2020-08-14,335.76136585839663,337.2603005274073,329.76562718235385,334.06256103515625,144522,0.0,0.0
2020-08-17,337.0603809691467,343.75563370774455,332.76344774615967,332.96331787109375,100400,0.0,0.0
2020-08-18,332.96330886776735,336.5607270521105,331.36443939922674,332.2637939453125,96297,0.0,0.0
2020-08-19,332.963324088836,336.3609028048649,327.86694076684256,329.3658752441406,178408,0.0,0.0
2020-08-20,329.5657159120954,330.7648756960605,325.1688475307236,328.76629638671875,108039,0.0,0.0
2020-08-21,331.2645023934779,335.6613705342117,325.268764793596,327.3672790527344,154526,0.0,0.0
2020-08-24,329.7656039363243,332.56360292287786,327.4672498042197,330.1653137207031,88596,0.0,0.0
2020-08-25,332.7634683410651,340.1582059827974,326.2680853253987,327.0675048828125,251719,0.0,0.0
2020-08-26,327.2673872070542,329.3659017432875,323.86980821767287,325.96832275390625,85594,0.0,0.0
2020-08-27,328.3665876592212,329.96545721091513,324.869073856847,328.1667175292969,78939,0.0,0.0
2020-08-28,328.6663861772271,329.66567590746854,324.769162328466,326.2680969238281,64089,0.0,0.0
2020-08-31,326.2680875967906,327.7670221493027,318.8733499035781,320.0724792480469,76952,0.0,0.0
2020-09-01,319.07320331902736,321.171717882306,314.7762696147115,318.07391357421875,75537,0.0,0.0
2020-09-02,317.7741294066294,321.37157848022446,316.6749046208223,317.6741943359375,48848,0.0,0.0
2020-09-03,317.47434260060305,324.9690151785597,317.47434260060305,318.7734069824219,69638,0.0,0.0
2020-09-04,317.7741167727024,322.67063008291296,317.37440700172823,319.07318115234375,74449,0.0,0.0
2020-09-07,319.9726001298625,332.2638522399252,319.27308508468,328.2666931152344,139702,0.0,0.0
2020-09-08,330.2652533896579,333.16318748663485,321.77129074574844,321.9711608886719,112394,0.0,0.0
2020-09-09,322.6706348352862,329.8655328023929,320.07247554183647,322.1709899902344,151470,0.0,0.0
2020-09-10,322.67064864861277,325.5685827747918,319.8726495949025,320.17242431640625,108591,0.0,0.0
2020-09-11,319.87266234918076,326.7677556818182,318.7734375,324.26953125,294266,0.0,0.0
2020-09-14,327.76703151919025,333.1631899633135,325.66851698650277,326.2680969238281,175399,0.0,0.0
2020-09-15,327.76703207301915,333.2631255986338,324.76916287722935,325.96832275390625,200345,0.0,0.0
2020-09-16,326.7677350043854,328.9661845636318,323.76986587590477,324.36944580078125,99929,0.0,0.0
2020-09-17,324.16956671596046,326.26808114717454,322.3708574868632,323.669921875,97737,0.0,0.0
2020-09-18,324.0696136703267,324.76912860722507,321.7712597277737,322.2709045410156,72798,0.0,0.0
2020-09-21,322.2709425424617,323.8698122325506,309.7798207384903,312.57781982421875,122270,0.0,0.0
2020-09-22,312.4779134426108,315.07604236611587,306.7819497345209,307.9811096191406,132453,0.0,0.0
2020-09-23,309.77979359519446,313.17737232899395,306.9817947546302,310.7790832519531,154384,0.0,0.0
2020-09-24,308.6805604645802,313.77694367439517,307.3814961445428,309.77978515625,118135,0.0,0.0
