date,open,high,low,close,volume,dividends,stock_splits,capital_gains
2026-07-17 00:00:00+03:00,86.22000122070312,86.22000122070312,83.41999816894531,83.54000091552734,82,0.0,0.0,0.0
2026-07-20 00:00:00+03:00,83.54000091552734,85.12000274658203,83.54000091552734,84.55999755859375,26784,0.0,0.0,0.0
2026-07-21 00:00:00+03:00,85.0,85.0,84.12000274658203,84.12000274658203,253,0.0,0.0,0.0
2026-07-22 00:00:00+03:00,84.41999816894531,85.36000061035156,84.41999816894531,85.36000061035156,646,0.0,0.0,0.0
2026-07-23 00:00:00+03:00,85.27999877929688,85.83999633789062,84.73999786376953,84.73999786376953,915,0.0,0.0,0.0
2026-07-24 00:00:00+03:00,84.73999786376953,85.5,83.63999938964844,83.87999725341797,162,0.0,0.0,0.0
2026-07-27 00:00:00+03:00,84.81999969482422,84.87999725341797,82.81999969482422,82.81999969482422,673,0.0,0.0,0.0
2026-07-28 00:00:00+03:00,83.5,83.5,82.45999908447266,82.55999755859375,3389,0.0,0.0,0.0
2026-07-29 00:00:00+03:00,83.0,83.0,81.13999938964844,81.36000061035156,5364,0.0,0.0,0.0
2026-07-30 00:00:00+03:00,81.36000061035156,81.36000061035156,79.69999694824219,79.69999694824219,1578,0.0,0.0,0.0
2026-07-31 00:00:00+03:00,79.69999694824219,81.33999633789062,79.69999694824219,81.33999633789062,300,0.0,0.0,0.0
2026-08-03 00:00:00+03:00,83.4800033569336,83.4800033569336,81.0199966430664,81.22000122070312,2432,0.0,0.0,0.0
2026-08-04 00:00:00+03:00,81.94000244140625,82.9800033569336,81.5999984741211,82.9800033569336,2471,0.0,0.0,0.0
2026-08-05 00:00:00+03:00,83.13999938964844,83.5,82.4000015258789,83.23999786376953,6013,0.0,0.0,0.0
2026-08-06 00:00:00+03:00,83.87999725341797,83.87999725341797,83.23999786376953,83.63999938964844,90,0.0,0.0,0.0
2026-08-07 00:00:00+03:00,84.0,84.30000305175781,82.83999633789062,83.0,15673,0.0,0.0,0.0
2026-08-10 00:00:00+03:00,83.0199966430664,83.80000305175781,83.0199966430664,83.31999969482422,393,0.0,0.0,0.0
2026-08-11 00:00:00+03:00,83.4800033569336,83.4800033569336,81.5999984741211,82.37999725341797,3278,0.0,0.0,0.0
