symbol,name,sector
ALGYO.IS,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
ALKA.IS,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,Other
ALKIM.IS,ALKİM ALKALİ KİMYA A.Ş.,Other
ALMAD.IS,ALTINYAĞ MADENCİLİK VE ENERJİ YATIRIMLARI SANAYİ VE TİCARET A.Ş.,Other
ANELE.IS,ANEL ELEKTRİK PROJE TAAHHÜT VE TİCARET A.Ş.,Other
ANGEN.IS,ANATOLİA TANI VE BİYOTEKNOLOJİ ÜRÜNLERİ ARAŞTIRMA GELİŞTİRME SANAYİ VE TİCARET A.Ş.,Other
ANHYT.IS,ANADOLU HAYAT EMEKLİLİK A.Ş.,Other
ANSGR.IS,ANADOLU ANONİM TÜRK SİGORTA ŞİRKETİ,Other
ARASE.IS,DOĞU ARAS ENERJİ YATIRIMLARI A.Ş.,Other
ARCLK.IS,ARÇELİK A.Ş.,Other
ARDYZ.IS,ARD GRUP BİLİŞİM TEKNOLOJİLERİ A.Ş.,Other
ARENA.IS,ARENA BİLGİSAYAR SANAYİ VE TİCARET A.Ş.,Other
ARSAN.IS,ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.,Other
ARZUM.IS,ARZUM ELEKTRİKLİ EV ALETLERİ SANAYİ VE TİCARET A.Ş.,Other
ASELS.IS,ASELSAN ELEKTRONİK SANAYİ VE TİCARET A.Ş.,Other
ASGYO.IS,ASCE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
ASTOR.IS,ASTOR ENERJİ A.Ş.,Other
ASUZU.IS,ANADOLU ISUZU OTOMOTİV SANAYİ VE TİCARET A.Ş.,Other
ATAGY.IS,ATA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
ATAKP.IS,ATAKEY PATATES GIDA SANAYİ VE TİCARET A.Ş.,Other
ATATP.IS,ATP YAZILIM VE TEKNOLOJİ A.Ş.,Other
ATEKS.IS,AKIN TEKSTİL A.Ş.,Other
ATLAS.IS,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.,Other
ATSYH.IS,ATLANTİS YATIRIM HOLDİNG A.Ş.,Other
AVGYO.IS,AVRASYA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other
AVHOL.IS,AVRUPA YATIRIM HOLDİNG A.Ş.,Other
