date,open,high,low,close,volume,dividends,stock_splits
2020-08-14 00:00:00+03:00,1.2606979006295738,1.3544232544386572,1.2606979006295738,1.2882641553878784,13160904,0.0,0.0
2020-08-17 00:00:00+03:00,1.3121548439485222,1.3213435947686676,1.2478335882075045,1.2901018857955933,5236614,0.0,0.0
2020-08-18 00:00:00+03:00,1.2901018571386893,1.32318140317184,1.2294560592574288,1.3038849830627441,2530209,0.0,1.5
2020-08-19 00:00:00+03:00,1.3121548439485222,1.320424785409783,1.2873452386418396,1.2901018857955933,1854153,0.0,0.0
2020-08-20 00:00:00+03:00,1.290101928696833,1.3011284081399737,1.2404826068948696,1.2570223808288574,1705253,0.0,0.0
2020-08-21 00:00:00+03:00,1.2625355037904828,1.2680487980106265,1.2266994199751942,1.2294560670852661,1841893,0.0,0.0
2020-08-24 00:00:00+03:00,1.2432391996824315,1.2515090315179034,1.2266994264729387,1.2349692583084106,1128079,0.0,0.0
2020-08-25 00:00:00+03:00,1.237725870259745,1.2845885414318194,1.2266993916129467,1.243239164352417,3533069,0.0,0.0
2020-08-26 00:00:00+03:00,1.2459958291753408,1.281832025362339,1.2349693494018632,1.2735621929168701,2035246,0.0,0.0
2020-08-27 00:00:00+03:00,1.2983717143455884,1.2983717143455884,1.2597789829089383,1.2652921676635742,1498696,0.0,0.0
2020-08-28 00:00:00+03:00,1.2680488181041143,1.2928584234107967,1.262535523796607,1.2901018857955933,1966189,0.0,0.0
2020-08-31 00:00:00+03:00,1.2928584664037028,1.2956151136491265,1.2542657335834337,1.2570223808288574,1812836,0.0,0.0
2020-09-01 00:00:00+03:00,1.2625355524468957,1.2763187885284424,1.243239241009836,1.2763187885284424,2243936,0.0,0.0
2020-09-02 00:00:00+03:00,1.2818319956557747,1.3231814855405124,1.2708055161378369,1.287345290184021,5840889,0.0,0.0
2020-09-03 00:00:00+03:00,1.306641655785367,1.30939819339341,1.2625355205169813,1.2652921676635742,3954066,0.0,0.0
2020-09-04 00:00:00+03:00,1.2680488181041143,1.3093981967947685,1.2570223390276498,1.2901018857955933,4178853,0.0,0.0
2020-09-07 00:00:00+03:00,1.2845887226699486,1.3452345280914617,1.2845887226699486,1.325938105583191,4988813,0.0,0.0
2020-09-08 00:00:00+03:00,1.3286945423480154,1.3452343147985701,1.3038849384414555,1.312154769897461,2506929,0.0,0.0
2020-09-09 00:00:00+03:00,1.3093981619610875,1.3342078761463119,1.3093981619610875,1.3286945819854736,1514203,0.0,0.0
2020-09-10 00:00:00+03:00,1.3342077590314336,1.400366844999951,1.3176679875393043,1.3783137798309326,6908032,0.0,0.0
2020-09-11 00:00:00+03:00,1.3838270735078215,1.4885788865989487,1.350747530523563,1.3783137798309326,15231572,0.0,0.0
2020-09-14 00:00:00+03:00,1.3783138816062297,1.4472296195019596,1.3783138816062297,1.4224199056625366,5389426,0.0,0.0
2020-09-15 00:00:00+03:00,1.4251765581887585,1.4417163309658385,1.3810705339627272,1.3976103067398071,3563373,0.0,0.0
2020-09-16 00:00:00+03:00,1.4086367688904662,1.4251765414735593,1.386583702266827,1.392096996307373,2654863,0.0,0.0
2020-09-17 00:00:00+03:00,1.3865836242149172,1.5326849222183228,1.3783137931581586,1.5326849222183228,11078319,0.0,0.0
2020-09-18 00:00:00+03:00,1.5685213241968297,1.684299631857104,1.557494844785983,1.6208972930908203,15720558,0.0,0.0
2020-09-21 00:00:00+03:00,1.6484634801956342,1.7284056991760581,1.551981487993793,1.56852126121521,13624735,0.0,0.0
2020-09-22 00:00:00+03:00,1.574034492898957,1.7063525638719574,1.505118755626103,1.6705163717269897,10521605,0.0,0.0
2020-09-23 00:00:00+03:00,1.6787864001983732,1.8414273777514498,1.6787864001983732,1.8386707305908203,10732529,0.0,0.0
2020-09-24 00:00:00+03:00,1.8386706684446965,1.9351526585743792,1.7642417453161157,1.811104416847229,10599239,0.0,0.0
2020-09-25 00:00:00+03:00,1.8359140788342985,1.8855333960252596,1.7918080556218476,1.8138610124588013,4543686,0.0,0.0
2020-09-28 00:00:00+03:00,1.8745068487156746,1.9103430412759879,1.7918080944760157,1.830400824546814,6632012,0.0,0.0
2020-09-29 00:00:00+03:00,1.8469406919690368,1.8579672807303391,1.7642418239520279,1.7945647239685059,4253246,0.0,0.0
2020-09-30 00:00:00+03:00,1.791808263626942,1.9268828863953722,1.7669985473821117,1.8524540662765503,10243146,0.0,0.0
2020-10-01 00:00:00+03:00,1.8524537538093624,1.8689934157979726,1.7807813740122078,1.8248873949050903,3908279,0.0,0.0
2020-10-02 00:00:00+03:00,1.802834391593933,1.8304006402313198,1.7890512672752399,1.802834391593933,2270036,0.0,0.0
2020-10-05 00:00:00+03:00,1.8193742107550661,1.8634803411864864,1.797321145539356,1.8248873949050903,4025226,0.0,0.0
2020-10-06 00:00:00+03:00,1.8193742996616473,1.8855333890032075,1.8055911743052462,1.8579671382904053,5170692,0.0,0.0
2020-10-07 00:00:00+03:00,1.8414273957899312,2.028878090086374,1.8359142109532163,1.973745584487915,13752665,0.0,0.0
2020-10-08 00:00:00+03:00,1.9930416718143693,2.10055024282262,1.9103429227075388,1.97925865650177,10636305,0.0,0.0
2020-10-09 00:00:00+03:00,1.9847720610049777,2.015094959277163,1.9130996763335981,1.9296393394470215,4752449,0.0,0.0
2020-10-12 00:00:00+03:00,1.9296393940738712,1.9544492180619923,1.9158563776020117,1.9213696718215942,3382143,0.0,0.0
2020-10-13 00:00:00+03:00,1.9296392716122939,2.111576873926643,1.921369549884842,2.0454177856445312,16802642,0.0,0.0
2020-10-14 00:00:00+03:00,2.053687558972301,2.0867671039445033,1.9572057901368898,2.042661190032959,7289002,0.0,0.0
2020-10-15 00:00:00+03:00,2.020608148523474,2.0481746203998066,1.9599623485497488,1.973745584487915,5272982,0.0,0.0
2020-10-16 00:00:00+03:00,1.973745516760094,1.9957984744273236,1.9599622812948907,1.9709888696670532,2767476,0.0,0.0
2020-10-19 00:00:00+03:00,1.9682322968677413,1.9792588856561182,1.940666043973903,1.9489359855651855,3453629,0.0,0.0
2020-10-20 00:00:00+03:00,1.935152967316439,2.042661562868298,1.9323963198091763,1.9985554218292236,9202026,0.0,0.0
2020-10-21 00:00:00+03:00,2.0178517204129442,2.0233647957111076,1.9682322901126486,1.973745584487915,3033719,0.0,0.0
2020-10-22 00:00:00+03:00,1.9820151517667686,1.99028487269091,1.9434223175048828,1.9434223175048828,2845196,0.0,0.0
2020-10-23 00:00:00+03:00,1.946179186436705,1.9765020841604355,1.8882900379711367,1.9379092454910278,4008823,0.0,0.0
2020-10-26 00:00:00+03:00,1.9296393096991669,1.9461791916346973,1.7532152168493633,1.8138610124588013,5069613,0.0,0.0
2020-10-27 00:00:00+03:00,1.8193744321339371,1.9020731902938062,1.7311622700761053,1.863480567932129,3609129,0.0,0.0
2020-10-28 00:00:00+03:00,1.860723907875855,1.874506924601901,1.8221310667041453,1.8386707305908203,602873,0.0,0.0
2020-10-30 00:00:00+03:00,1.7587285764979281,1.8745068780613983,1.7587285764979281,1.816617727279663,2180269,0.0,0.0
2020-11-02 00:00:00+03:00,1.8745068487156746,1.8745068487156746,1.8193743458892353,1.830400824546814,2286723,0.0,0.0
2020-11-03 00:00:00+03:00,1.83867061628501,1.8552104982205406,1.7697549892463502,1.8138610124588013,1731963,0.0,0.0
2020-11-04 00:00:00+03:00,1.8414273205275384,1.918613000472348,1.8193743630049188,1.866236925125122,3754166,0.0,0.0
2020-11-05 00:00:00+03:00,1.86899373129685,1.9627190825926548,1.84969741920661,1.9075865745544434,5421046,0.0,0.0
2020-11-06 00:00:00+03:00,1.9268827062725606,1.9654755459175455,1.9103430430401913,1.95444917678833,3434539,0.0,0.0
2020-11-09 00:00:00+03:00,1.9709889050506324,1.9957985102562898,1.9516925941300323,1.9627189636230469,4198676,0.0,0.0
2020-11-10 00:00:00+03:00,1.9957983823817416,2.045417808690946,1.9709887787656821,2.0068249702453613,6007786,0.0,0.0
2020-11-11 00:00:00+03:00,2.0095817624555408,2.02336477920416,1.948935962976574,1.968232274055481,3391029,0.0,0.0
2020-11-12 00:00:00+03:00,1.9709887830841102,1.9902850928106377,1.8717501493253557,1.8827767372131348,3641909,0.0,0.0
2020-11-13 00:00:00+03:00,1.8965598987397543,1.9461793289707539,1.8745069403465893,1.918613076210022,1906076,0.0,0.0
2020-11-16 00:00:00+03:00,1.9489359206779722,1.9627189371274523,1.9241263158072304,1.9268827438354492,2913853,0.0,0.0
2020-11-17 00:00:00+03:00,1.9241263544201281,1.951692606949378,1.891046807569608,1.913099765777588,2665749,0.0,0.0
2020-11-18 00:00:00+03:00,1.9103429138977623,1.9489357509338059,1.9075862670325394,1.924126148223877,2135466,0.0,0.0
2020-11-19 00:00:00+03:00,1.9213696718215942,1.9406659825130361,1.8938034198007785,1.9213696718215942,2676866,0.0,0.0
2020-11-20 00:00:00+03:00,1.929639445868053,1.970988934547702,1.9130997818424549,1.918613076210022,5248526,0.0,0.0
2020-11-23 00:00:00+03:00,1.9158563233653505,1.9516925157010403,1.8882900721249176,1.9296393394470215,4004336,0.0,0.0
2020-11-24 00:00:00+03:00,1.9296393394470215,1.9544491627327927,1.9075863822700934,1.9296393394470215,2790603,0.0,0.0
2020-11-25 00:00:00+03:00,1.921369707259493,1.946179312628108,1.9075864714563178,1.913099765777588,3420633,0.0,0.0
2020-11-26 00:00:00+03:00,1.913099765777588,1.9296394296642974,1.9103431186169528,1.913099765777588,1467126,0.0,0.0
2020-11-27 00:00:00+03:00,1.9158564290262385,1.9406660346031868,1.9103431346586714,1.918613076210022,3857393,0.0,0.0
2020-11-30 00:00:00+03:00,1.9241263544201281,1.9820155066392628,1.9020731771350476,1.913099765777588,5518426,0.0,0.0
2020-12-01 00:00:00+03:00,1.9241262969194521,1.9599622707825823,1.9158563556846862,1.9406659603118896,4263173,0.0,0.0
2020-12-02 00:00:00+03:00,1.9461795122107246,2.1363868713378906,1.9351529224373967,2.1363868713378906,27105611,0.0,0.0
2020-12-03 00:00:00+03:00,2.2053023265547975,2.348646879196167,2.2053023265547975,2.348646879196167,41225813,0.0,0.0
2020-12-04 00:00:00+03:00,2.4506419481908517,2.582960119956488,2.2163285007661138,2.2356250286102295,66164062,0.0,0.0
2020-12-07 00:00:00+03:00,2.254921469190619,2.409292605582066,2.254921469190619,2.2659480571746826,21359085,0.0,0.0
2020-12-08 00:00:00+03:00,2.2935144049059266,2.3210806569530362,2.1804925305279697,2.2108154296875,11989429,0.0,0.0
2020-12-09 00:00:00+03:00,2.24665173357317,2.4396157264709473,2.1611963261163063,2.4396157264709473,35977474,0.0,0.0
2020-12-10 00:00:00+03:00,2.536097563328726,2.6821987628936768,2.4809650599921893,2.6821987628936768,63161429,0.0,0.0
2020-12-11 00:00:00+03:00,2.759384522458022,2.9495918616275447,2.6877121346059147,2.715278387069702,79178688,0.0,0.0
2020-12-14 00:00:00+03:00,2.718034808557763,2.861379572360715,2.618796176481199,2.6408493518829346,39598424,0.0,0.0
2020-12-15 00:00:00+03:00,2.6353364141536093,2.6353364141536093,2.4451290650728295,2.4616687297821045,28264611,0.0,0.0
2020-12-16 00:00:00+03:00,2.5085312528822086,2.6187962569716254,2.4396155157877786,2.475451707839966,30632538,0.0,0.0
2020-12-17 00:00:00+03:00,2.491991453724733,2.5195579247412425,2.3982661094998905,2.409292697906494,12705922,0.0,0.0
2020-12-18 00:00:00+03:00,2.4092927430681623,2.525071047199355,2.3706999019987314,2.4313457012176514,13063055,0.0,0.0
2020-12-21 00:00:00+03:00,2.420319106504412,2.436858768808468,2.3376201377528916,2.356916666030884,10637765,0.0,0.0
