symbol,name,sector,status,observations,median_daily_turnover
ALFAS.IS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,Other,PASS,934,207429452.00959775
DOAS.IS,DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,Other,PASS,1502,199258402.3326569
BRSAN.IS,BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,197999003.80890656
ENJSA.IS,ENERJİSA ENERJİ A.Ş.,Other,PASS,1502,196460299.9820948
AKSEN.IS,AKSA ENERJİ ÜRETİM A.Ş.,Other,PASS,1502,195080052.84095764
CANTE.IS,ÇAN2 TERMİK A.Ş.,Other,PASS,1320,194488533.91037875
IZENR.IS,İZDEMİR ENERJİ ELEKTRİK ÜRETİM A.Ş.,Other,PASS,750,193867426.9219384
SMRTG.IS,SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.,Other,PASS,1096,193495212.3798728
EUREN.IS,EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,Other,PASS,1046,177139580.58603144
CCOLA.IS,COCA-COLA İÇECEK A.Ş.,Other,PASS,1503,174817947.09368896
PSGYO.IS,PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,Other,PASS,1166,163701549.98047745
MAVI.IS,MAVİ GİYİM SANAYİ VE TİCARET A.Ş.,Other,PASS,1503,163082300.96549988
KCAER.IS,KOCAER ÇELİK SANAYİ VE TİCARET A.Ş.,Other,PASS,1030,153166002.70156574
AKFYE.IS,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,Other,PASS,852,153072415.44290257
TATEN.IS,TATLIPINAR ENERJİ ÜRETİM A.Ş.,Other,PASS,749,147477795.7956772
OTKAR.IS,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.,Other,PASS,1500,144241457.96984863
ECILC.IS,EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,Other,PASS,1502,143616571.97023988
TURSG.IS,TÜRKİYE SİGORTA A.Ş.,Other,PASS,1506,142985367.33580738
BERA.IS,BERA HOLDİNG A.Ş.,Other,PASS,1502,129304560.68942831
GIPTA.IS,GIPTA OFİS KIRTASİYE VE PROMOSYON ÜRÜNLERİ İMALAT SANAYİ A.Ş.,Other,PASS,595,126834159.54437256
AHGAZ.IS,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,Other,PASS,906,126723207.28570652
EGEEN.IS,EGE ENDÜSTRİ VE TİCARET A.Ş.,Other,PASS,1502,124205315.0
QUAGR.IS,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,Other,PASS,1333,122508674.37049866
AKSA.IS,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,Other,PASS,1503,118258269.70964098
DAPGM.IS,DAP GAYRİMENKUL GELİŞTİRME A.Ş.,Other,PASS,1116,115832209.7884674
AGHOL.IS,AG ANADOLU GRUBU HOLDİNG A.Ş.,Other,PASS,1503,113652777.15924837
