date,open,high,low,close,volume,dividends,stock_splits
2024-03-21 00:00:00+03:00,688.5,693.5,656.0,660.0,323131,0.0,0.0
2024-03-22 00:00:00+03:00,660.0,676.0,650.0,657.5,253965,0.0,0.0
2024-03-25 00:00:00+03:00,654.0,667.5,645.0,647.5,266847,0.0,0.0
2024-03-26 00:00:00+03:00,648.5,651.5,618.0,628.0,254113,0.0,0.0
2024-03-27 00:00:00+03:00,633.0,651.0,623.0,638.5,253806,0.0,0.0
2024-03-28 00:00:00+03:00,638.5,642.0,621.0,635.0,247572,0.0,0.0
2024-03-29 00:00:00+03:00,635.0,649.5,629.0,642.5,292284,0.0,0.0
2024-04-01 00:00:00+03:00,642.5,645.5,611.0,611.0,218351,0.0,0.0
2024-04-02 00:00:00+03:00,611.0,625.0,592.0,595.0,235027,0.0,0.0
2024-04-03 00:00:00+03:00,591.0,600.0,582.5,592.0,193072,0.0,0.0
2024-04-04 00:00:00+03:00,594.5,609.0,565.0,570.0,259665,0.0,0.0
2024-04-05 00:00:00+03:00,534.5,563.5,525.5,556.5,658352,0.0,0.0
2024-04-08 00:00:00+03:00,557.5,612.0,552.0,612.0,551850,0.0,0.0
2024-04-15 00:00:00+03:00,610.0,619.5,594.5,607.5,343176,0.0,0.0
2024-04-16 00:00:00+03:00,606.0,606.0,580.5,585.0,244366,0.0,0.0
2024-04-17 00:00:00+03:00,587.0,598.5,571.0,582.0,207415,0.0,0.0
2024-04-18 00:00:00+03:00,585.5,589.0,567.0,570.5,230713,0.0,0.0
2024-04-19 00:00:00+03:00,569.0,592.5,557.5,575.0,237637,0.0,0.0
2024-04-22 00:00:00+03:00,577.0,597.0,567.0,569.0,243254,0.0,0.0
2024-04-24 00:00:00+03:00,570.5,625.5,570.5,601.0,1093684,0.0,0.0
2024-04-25 00:00:00+03:00,601.5,607.0,578.0,580.0,352520,0.0,0.0
2024-04-26 00:00:00+03:00,581.0,590.0,575.0,585.0,209532,0.0,0.0
2024-04-29 00:00:00+03:00,589.0,596.0,565.0,569.0,235931,0.0,0.0
2024-04-30 00:00:00+03:00,571.0,579.5,563.5,565.5,226832,0.0,0.0
2024-05-02 00:00:00+03:00,570.0,585.5,566.0,576.5,423209,0.0,0.0
2024-05-03 00:00:00+03:00,576.5,596.0,573.0,579.0,379234,0.0,0.0
2024-05-06 00:00:00+03:00,580.5,584.5,569.0,574.5,269363,0.0,0.0
2024-05-07 00:00:00+03:00,575.0,596.5,546.5,566.5,363154,0.0,0.0
2024-05-08 00:00:00+03:00,569.0,573.0,565.5,568.5,209309,0.0,0.0
2024-05-09 00:00:00+03:00,571.0,572.0,551.0,555.0,203541,0.0,0.0
2024-05-10 00:00:00+03:00,555.0,555.0,540.0,540.0,198505,0.0,0.0
2024-05-13 00:00:00+03:00,540.0,540.5,515.0,515.0,252552,0.0,0.0
2024-05-14 00:00:00+03:00,510.0,527.5,510.0,519.5,191030,0.0,0.0
2024-05-15 00:00:00+03:00,522.5,559.0,522.0,529.0,412864,0.0,0.0
2024-05-16 00:00:00+03:00,527.5,537.0,525.0,531.5,146108,0.0,0.0
2024-05-17 00:00:00+03:00,535.0,550.5,531.5,533.0,259899,0.0,0.0
2024-05-20 00:00:00+03:00,533.0,536.0,526.0,530.5,218053,0.0,0.0
2024-05-21 00:00:00+03:00,531.0,533.5,514.0,515.5,195458,0.0,0.0
2024-05-22 00:00:00+03:00,515.5,528.0,515.0,524.0,188011,0.0,0.0
2024-05-23 00:00:00+03:00,529.0,531.0,515.5,516.0,161872,0.0,0.0
2024-05-24 00:00:00+03:00,516.5,517.0,500.0,505.0,148038,0.0,0.0
2024-05-27 00:00:00+03:00,505.0,510.0,489.0,490.0,278623,0.0,0.0
2024-05-28 00:00:00+03:00,491.5,500.5,488.0,489.0,164213,0.0,0.0
2024-05-29 00:00:00+03:00,488.5,488.5,470.25,471.5,169591,0.0,0.0
2024-05-30 00:00:00+03:00,471.5,477.25,467.25,475.0,133131,0.0,0.0
2024-05-31 00:00:00+03:00,475.0,490.0,471.75,483.0,175064,0.0,0.0
2024-06-03 00:00:00+03:00,485.5,486.75,469.25,483.25,211174,0.0,0.0
2024-06-04 00:00:00+03:00,484.0,496.5,478.25,486.0,229555,0.0,0.0
2024-06-05 00:00:00+03:00,488.0,488.75,468.0,473.5,151313,0.0,0.0
