date,symbol,sector,rank,raw_score,actual_return_5d,prob_5d,regime,outcome_class
2024-12-19,BRKO.IS,Other,19.0,0.79879117,0.1481480925498519,,,SUCCESS
2024-12-19,KRTEK.IS,Other,3.0,0.83483034,0.0458221248748915,,,SUCCESS
2024-12-19,DAPGM.IS,Other,14.0,0.81201756,-0.0244603746938465,,,FAILURE
2024-12-19,FZLGY.IS,Other,7.0,0.8267236,-0.0426157277801415,,,FAILURE
2024-12-19,EUYO.IS,Other,18.0,0.80204016,0.0595150680917269,,,SUCCESS
2024-12-19,OYAKC.IS,Other,6.0,0.82920885,0.1144185387442016,,,SUCCESS
2024-12-19,GZNMI.IS,Other,5.0,0.8316414,-0.0284745555813029,,,FAILURE
2024-12-19,EGEPO.IS,Other,8.0,0.82556975,-0.1002950271582665,,,FAILURE
2024-12-19,KUVVA.IS,Other,1.0,0.8376945,0.0500368164617976,,,SUCCESS
2024-12-19,SANFM.IS,Other,10.0,0.8242968,-0.1514472279326937,,,FAILURE
2024-12-19,TKNSA.IS,Other,13.0,0.8150201,0.0240334904122343,,,SUCCESS
2024-12-19,FORMT.IS,Other,2.0,0.837137,-0.0572519438242157,,,FAILURE
2024-12-19,TRCAS.IS,Other,12.0,0.8154398,0.0215596367918693,,,SUCCESS
2024-12-19,GUBRF.IS,Other,9.0,0.82535875,-0.0265721877767936,,,FAILURE
2024-12-19,TUREX.IS,Other,4.0,0.83174336,0.034891422072846,,,SUCCESS
2024-12-19,VAKFN.IS,Other,17.0,0.80353045,-0.0441176529515217,,,FAILURE
2024-12-19,VANGD.IS,Other,11.0,0.81588197,-0.0253852891885579,,,FAILURE
2024-12-19,AKSA.IS,Other,16.0,0.8037364,-0.0091591391313674,,,FAILURE
2024-12-19,ISGSY.IS,Other,15.0,0.80629283,-0.0257997473256412,,,FAILURE
2024-12-19,ALKA.IS,Other,20.0,0.7961372,0.0247058868408203,,,SUCCESS
2024-12-20,OYAKC.IS,Other,6.0,0.86329985,0.1050185766555034,,,SUCCESS
2024-12-20,BRKO.IS,Other,16.0,0.8356868,0.116071447578012,,,SUCCESS
2024-12-20,RYSAS.IS,Other,10.0,0.8518454,-0.0154772401895573,,,FAILURE
2024-12-20,EUYO.IS,Other,19.0,0.8223037,0.0137782449560976,,,PARTIAL_SUCCESS
2024-12-20,TKNSA.IS,Other,8.0,0.8562909,-0.0156739418300504,,,FAILURE
2024-12-20,SANFM.IS,Other,3.0,0.8641364,-0.2469113989181123,,,FAILURE
2024-12-20,ALKA.IS,Other,12.0,0.8503251,0.0416667139719424,,,SUCCESS
2024-12-20,TATGD.IS,Other,11.0,0.8516636,0.0438494031193603,,,SUCCESS
2024-12-20,MACKO.IS,Other,20.0,0.8191872,-0.0299905855429246,,,FAILURE
2024-12-20,ATEKS.IS,Other,14.0,0.84583664,-0.0664557262547576,,,FAILURE
2024-12-20,LIDER.IS,Other,18.0,0.8281976,0.139068083978717,,,SUCCESS
2024-12-20,FZLGY.IS,Other,17.0,0.8329749,-0.0760028517705841,,,FAILURE
2024-12-20,GZNMI.IS,Other,5.0,0.86386263,-0.0184931297824807,,,FAILURE
2024-12-20,CUSAN.IS,Other,4.0,0.8639539,0.0534638593692291,,,SUCCESS
2024-12-20,UFUK.IS,Other,15.0,0.8392544,-0.0653543307086613,,,FAILURE
2024-12-20,KUVVA.IS,Other,9.0,0.85323894,0.0856515111674001,,,SUCCESS
2024-12-20,TUREX.IS,Other,1.0,0.8700869,0.0430247614633019,,,SUCCESS
2024-12-20,GUBRF.IS,Other,7.0,0.8628488,0.0053380782918148,,,PARTIAL_SUCCESS
