date,symbol_col,score_1d,actual_1d,score_3d,actual_3d,score_5d,actual_5d
2026-05-13,BRKSN.IS,0.50093603,0.0057273894682068,0.47328642,-0.0045819115745654,0.5052839,-0.0561283067309813
2026-05-13,AVTUR.IS,0.5009517,-0.0132717566791046,0.4687018,-0.0536641840317387,0.5065454,-0.1021349978004406
2026-05-13,AYCES.IS,0.4954215,0.0445205479452055,0.47472647,-0.0462328767123287,0.51143634,-0.1472602739726027
2026-05-13,ADESE.IS,0.4899022,0.0370370002440478,0.48629916,-0.0370371106230155,0.5055734,-0.1203704163616068
2026-05-13,ASGYO.IS,0.50088876,0.0066225102823931,0.47697592,-0.0314569633146436,0.5021708,-0.0579470044442171
2026-05-13,ALKIM.IS,0.5030888,0.0219780000968345,0.4712531,0.0137362631604429,0.50484025,-0.0642857157828481
2026-05-13,ATEKS.IS,0.49168947,-0.0440186417987132,0.48546264,-0.0704298584859961,0.50910294,-0.068876243559661
2026-05-13,CASA.IS,0.49305326,-0.0151188072240643,0.4742291,-0.0118790333935967,0.5040016,-0.043196544988258
2026-05-13,AKCNS.IS,0.49609104,0.0062079532610601,0.48230353,-0.0424210802808155,0.5017102,0.0160372192240954
2026-05-13,BIENY.IS,0.50088876,-0.0075000127156575,0.47441924,-0.0216666857401529,0.49810708,-0.0975000063578287
2026-05-13,BYDNR.IS,0.49467507,0.0083415153726407,0.46916717,-0.0034347251082803,0.49765128,-0.1020608444238924
2026-05-13,BANVT.IS,0.49375117,0.0055727176252902,0.47743073,-0.045820395643866,0.4977104,-0.0860680736624419
2026-05-13,ASTOR.IS,0.50467235,0.0,0.4887663,-0.0656716417910447,0.5028261,-0.0634328358208955
2026-05-13,ANELE.IS,0.48187518,0.0999999739165999,0.47046328,0.32991458208133,0.4915567,0.2538461277627537
2026-05-13,BOSSA.IS,0.5034915,0.0261941575176136,0.48278344,-0.0246532901471185,0.50770366,-0.069337415275071
2026-05-13,ATLAS.IS,0.5009517,0.0316159788020755,0.47975877,-0.0163934828979057,0.5021708,-0.0960187558927636
