date,p10_hits,p10_3plus,p11_hits,p11_3plus,p11_ret
2026-04-14,2,0,2,0,0.162636978397899
2026-04-15,1,0,2,0,0.0236133586819745
2026-04-16,2,0,2,0,0.13711787913859916
2026-04-17,2,0,1,0,-0.0016990522964322498
2026-04-20,2,0,2,0,0.049632343987302055
2026-04-21,1,0,1,0,-0.011368976315880304
2026-04-22,0,0,0,0,-0.0257020838111858
2026-04-23,0,0,0,0,-0.015408295954836851
2026-04-24,1,0,0,0,-0.0312146806035664
2026-04-27,2,0,0,0,-0.06976241794031066
2026-04-28,2,0,2,0,0.02858289929744335
2026-04-29,1,0,2,0,0.0690864375979103
2026-04-30,1,0,2,0,0.0604990297188183
2026-05-01,2,0,2,0,0.041632616032858345
2026-05-04,2,0,2,0,0.04456546669949065
2026-05-05,2,0,0,0,-0.057087252079225756
2026-05-06,1,0,1,0,-0.013719777138002449
2026-05-07,1,0,1,0,0.09990006228136744
2026-05-08,1,0,0,0,-0.028604217431607154
2026-05-11,0,0,0,0,-0.08943052425304629
2026-05-12,0,0,0,0,-0.06373018625844855
2026-05-13,0,0,0,0,-0.053120235839379554
2026-05-14,0,0,0,0,-0.065110069444876
2026-05-15,0,0,2,0,0.0527264782511804
2026-05-18,1,0,0,0,-0.1026826947719981
2026-05-19,2,0,2,0,0.02567817656691835
2026-05-20,0,0,0,0,-0.00487115886329105
2026-05-21,2,0,1,0,0.03356280726127775
2026-05-22,2,0,1,0,0.007647194371978399
2026-05-25,2,0,0,0,-0.0188024572410627
2026-05-26,2,0,2,0,0.03744336546201185
2026-05-27,1,0,2,0,0.04141668765529535
2026-05-28,2,0,1,0,-0.0005927910894141502
2026-05-29,2,0,0,0,-0.056175745366617
2026-06-01,1,0,1,0,0.00018711470185630002
2026-06-02,0,0,0,0,-0.09480875111668485
2026-06-03,0,0,0,0,-0.0757513210274497
2026-06-04,0,0,0,0,-0.09030119078824571
2026-06-05,1,0,2,0,0.0441314820529235
2026-06-08,2,0,1,0,-0.04180560943826715
2026-06-09,0,0,1,0,0.0960669106776065
2026-06-10,2,0,1,0,0.0115216474636174
2026-06-11,2,0,2,0,0.08551661219117321
2026-06-12,1,0,1,0,0.0125501444186308
2026-06-15,1,0,2,0,0.0458134928498981
2026-06-16,0,0,0,0,-0.0032679738562091
2026-06-17,2,0,1,0,0.016552324846299198
2026-06-18,1,0,2,0,0.0230135546765527
2026-06-19,0,0,1,0,-0.011853711139838349
2026-06-22,0,0,0,0,-0.03869967105163905
2026-06-23,0,0,1,0,-0.024713507388990752
2026-06-24,2,0,1,0,0.0030752757704167986
2026-06-25,0,0,2,0,0.0051439220655213
2026-06-26,2,0,2,0,0.021055137841989598
2026-06-29,0,0,0,0,-0.0365927460850371
2026-06-30,1,0,1,0,0.055933831646540345
2026-07-01,1,0,1,0,0.0310387195678818
2026-07-02,0,0,1,0,0.06831286543405735
2026-07-03,0,0,0,0,-0.06782846251958799
2026-07-06,1,0,0,0,-0.00545173907906755
2026-07-07,0,0,0,0,-0.0193929313813406
2026-07-08,2,0,2,0,0.06845114265179905
2026-07-09,1,0,1,0,-0.0003531835104072
2026-07-10,1,0,1,0,-0.00073001463547005
2026-07-13,0,0,2,0,0.1154405329589307
2026-07-14,1,0,1,0,-0.0096714682546215
2026-07-15,0,0,0,0,-0.0112945048421193
2026-07-16,2,0,0,0,-0.03047620682489305
2026-07-17,1,0,0,0,-0.03244005050969235
2026-07-20,2,0,0,0,-0.048488366327673046
2026-07-21,0,0,1,0,-0.01045986379077855
2026-07-22,0,0,0,0,-0.02796500279692465
2026-07-23,0,0,0,0,-0.014393055200174549
2026-07-24,0,0,1,0,0.0285549420966924
2026-07-27,0,0,0,0,-0.21709771836792735
2026-07-28,2,0,1,0,-0.014257767242850048
2026-07-29,2,0,0,0,-0.0127863054792282
2026-07-30,1,0,1,0,-0.006135067008007599
2026-07-31,1,0,1,0,-0.26741785697357645
2026-08-03,0,0,1,0,-0.1854129707668834
2026-08-04,0,0,1,0,-0.12118774474014304
2026-08-05,0,0,0,0,-0.012788982139489601
2026-08-06,0,0,0,0,
2026-08-07,0,0,0,0,
2026-08-10,0,0,0,0,
2026-08-11,0,0,0,0,
2026-08-12,0,0,0,0,
