Universe,Symbols,Avg_5D_Return,Excess_Ret,Hit_Rate@5,Perfect_Days
BIST 50 (Proxy),50,0.00211214842906445,0.0066980323772358775,0.45172413793103466,0.09482758620689655
FULL BIST (495),495,0.025428392250843198,0.026316579834546865,0.6086206896551724,0.14655172413793102
