date,p9_hit_rate,p10_hit_rate,p9_return,p10_return
2026-06-12,0.8,0.6,0.007009973282725138,0.0474723758510746
2026-06-15,0.6,0.4,0.053710217354843784,0.01626515927208428
2026-06-16,0.6,0.6,0.03800735640584642,0.0052810669439409975
2026-06-17,0.8,0.2,0.16041234985051425,-0.014227663721878222
2026-06-18,0.6,0.4,0.049974713144970956,0.011909974837399421
2026-06-19,0.8,0.4,0.04601525187165093,-0.02982354706768574
2026-06-22,0.8,0.2,0.06555350315660477,-0.05313109310650739
2026-06-23,0.6,0.2,0.040180559176212105,-0.0306730384561003
2026-06-24,0.8,0.6,0.050181596140998,0.004684686306296382
2026-06-25,0.4,0.2,0.0096194415017143,-0.02449918736659826
2026-06-26,0.6,0.2,0.01923355981313464,-0.036150101218981386
2026-06-29,0.6,0.2,0.03329598123884012,-0.027424315473319076
2026-06-30,0.6,0.4,0.04521624929218646,0.01499880003887448
2026-07-01,0.6,0.2,0.00044796182519642457,-0.039483875810533364
2026-07-02,0.6,0.4,0.01977817464350238,-0.002028391498069481
2026-07-03,0.2,0.0,-0.028318992309939776,-0.04847390519018201
2026-07-06,0.6,0.2,0.030035331442039737,-0.036932019775346735
2026-07-07,0.4,0.4,0.0077650179675031435,-0.010357711433190961
2026-07-08,0.8,0.6,0.05895426798776258,0.0009354521797678803
2026-07-09,0.8,0.4,0.09243218260579274,0.0245762253455175
2026-07-10,0.6,0.2,0.026951982926863145,0.009003092727861919
2026-07-13,0.8,0.4,0.08761584202656161,0.023397376596389553
2026-07-14,0.8,1.0,0.084424905860562,0.07678114879094085
2026-07-16,0.6,0.0,0.052275201419411575,-0.03269719169085384
2026-07-17,0.6,0.4,0.02527623760790232,-0.0007674992649296774
2026-07-20,0.6,0.4,0.01614818147140564,0.009417118734045321
2026-07-21,0.4,0.0,-0.013403172917358241,-0.05310691239850773
2026-07-22,0.6,0.2,0.031580702428643366,-0.02700729877261874
2026-07-23,0.4,0.0,-0.021402645117434782,-0.09907989861833373
2026-07-24,0.4,0.4,0.07051136086451391,-0.05314020143196627
2026-07-27,0.4,0.8,0.04466106817387413,0.12156667219858845
2026-07-28,0.4,0.2,0.022926187490265863,-0.03185167515991724
2026-07-29,0.6,0.4,-0.010061761350880244,-0.09985791148821038
2026-07-30,0.4,0.8,-0.03037137275509812,0.10602432388349381
2026-07-31,0.6,0.8,-0.10508152173251203,0.03501460762559344
2026-08-03,0.4,0.4,-0.05596536155523098,-0.00032981271916961987
2026-08-04,0.6,0.6,-0.015560498782533566,0.0339909463250021
