Horizon,Config,Avg_Accuracy,Holdout_Accuracy,Avg_Strategy_Ret
1,Technical Only,0.4932294285235462,0.0,0.008696098177356948
1,FULL MODEL,0.5033278091353312,0.4942912348498156,0.008725743829808988
5,Technical Only,0.5047301826713592,0.0,0.8852074970047314
5,FULL MODEL,0.46598784447235775,0.4473915334621465,0.8955345336300974
20,Technical Only,0.47824074074074074,0.0,11.451266815894746
20,FULL MODEL,0.4928955666787525,0.7091164588090637,11.625928752068083
