,date,p17_hits,p16_hits,p_group_fail,regime
0,2026-05-04,5,0,0.21908201277256012,SIDEWAYS_LOW_VOL
1,2026-05-05,5,2,0.20636728405952454,SIDEWAYS_LOW_VOL
2,2026-05-06,5,1,0.14279533922672272,SIDEWAYS_LOW_VOL
3,2026-05-07,5,0,0.8526145219802856,SIDEWAYS_LOW_VOL
4,2026-05-08,5,2,0.38187578320503235,SIDEWAYS_LOW_VOL
5,2026-05-11,5,2,0.8607942461967468,SIDEWAYS_LOW_VOL
6,2026-05-12,5,1,0.9451635479927063,SIDEWAYS_LOW_VOL
7,2026-05-13,5,0,0.9586960673332214,SIDEWAYS_LOW_VOL
8,2026-05-14,5,1,0.9605709910392761,SIDEWAYS_LOW_VOL
9,2026-05-15,5,1,0.9610390663146973,SIDEWAYS_LOW_VOL
10,2026-05-18,5,2,0.6018155217170715,SIDEWAYS_LOW_VOL
11,2026-05-19,4,4,0.6210270524024963,SIDEWAYS_LOW_VOL
12,2026-05-20,5,4,0.07836750149726868,SIDEWAYS_LOW_VOL
13,2026-05-21,5,3,0.2565588653087616,SIDEWAYS_LOW_VOL
14,2026-05-22,5,4,0.5753780603408813,SIDEWAYS_LOW_VOL
15,2026-05-25,5,5,0.9611985087394714,SIDEWAYS_LOW_VOL
16,2026-05-26,5,2,0.9610390663146973,SIDEWAYS_LOW_VOL
17,2026-05-27,5,1,0.9611985087394714,SIDEWAYS_LOW_VOL
18,2026-05-28,5,1,0.8821807503700256,SIDEWAYS_LOW_VOL
19,2026-05-29,5,1,0.9472569227218628,SIDEWAYS_LOW_VOL
20,2026-06-01,5,3,0.9472569227218628,SIDEWAYS_LOW_VOL
21,2026-06-02,5,2,0.8838071823120117,SIDEWAYS_LOW_VOL
22,2026-06-03,5,1,0.9472569227218628,SIDEWAYS_LOW_VOL
23,2026-06-04,5,1,0.9034420251846313,SIDEWAYS_LOW_VOL
24,2026-06-05,5,2,0.8730780482292175,SIDEWAYS_LOW_VOL
25,2026-06-08,5,0,0.514181911945343,SIDEWAYS_LOW_VOL
26,2026-06-09,5,1,0.7776816487312317,SIDEWAYS_LOW_VOL
27,2026-06-10,5,2,0.9598707556724548,SIDEWAYS_LOW_VOL
28,2026-06-11,5,1,0.9576771259307861,SIDEWAYS_LOW_VOL
29,2026-06-12,5,2,0.9610390663146973,SIDEWAYS_LOW_VOL
30,2026-06-15,5,0,0.9534026980400085,SIDEWAYS_LOW_VOL
31,2026-06-16,5,1,0.9414141178131104,SIDEWAYS_LOW_VOL
32,2026-06-17,5,2,0.9310086965560913,SIDEWAYS_LOW_VOL
33,2026-06-18,5,2,0.8752609491348267,SIDEWAYS_LOW_VOL
34,2026-06-19,5,2,0.9328666925430298,SIDEWAYS_LOW_VOL
35,2026-06-22,5,1,0.9490141272544861,SIDEWAYS_LOW_VOL
36,2026-06-23,5,1,0.9551679491996765,SIDEWAYS_LOW_VOL
37,2026-06-24,5,1,0.9603496193885803,SIDEWAYS_LOW_VOL
38,2026-06-25,5,0,0.8595374226570129,SIDEWAYS_LOW_VOL
39,2026-06-26,5,0,0.9317455887794495,SIDEWAYS_LOW_VOL
40,2026-06-29,5,1,0.923612117767334,SIDEWAYS_LOW_VOL
41,2026-06-30,5,2,0.940053403377533,SIDEWAYS_LOW_VOL
42,2026-07-01,5,2,0.940293550491333,SIDEWAYS_LOW_VOL
43,2026-07-02,5,5,0.706930935382843,SIDEWAYS_LOW_VOL
44,2026-07-03,5,2,0.9234917163848877,SIDEWAYS_LOW_VOL
45,2026-07-06,5,4,0.9160162806510925,SIDEWAYS_LOW_VOL
46,2026-07-07,5,0,0.9124389886856079,SIDEWAYS_LOW_VOL
47,2026-07-08,5,5,0.9297510385513306,SIDEWAYS_LOW_VOL
48,2026-07-09,5,4,0.9170901775360107,SIDEWAYS_LOW_VOL
49,2026-07-10,5,4,0.9297510385513306,SIDEWAYS_LOW_VOL
50,2026-07-13,5,3,0.9201366305351257,SIDEWAYS_LOW_VOL
51,2026-07-14,5,2,0.911603569984436,SIDEWAYS_LOW_VOL
52,2026-07-15,0,0,0.1805027723312378,SIDEWAYS_LOW_VOL
53,2026-07-16,5,2,0.8897778987884521,SIDEWAYS_LOW_VOL
54,2026-07-17,5,1,0.9038411974906921,SIDEWAYS_LOW_VOL
55,2026-07-20,5,4,0.9365716576576233,SIDEWAYS_LOW_VOL
56,2026-07-21,5,2,0.9323445558547974,SIDEWAYS_LOW_VOL
57,2026-07-22,5,1,0.8756070733070374,SIDEWAYS_LOW_VOL
58,2026-07-23,5,2,0.9325724840164185,SIDEWAYS_LOW_VOL
59,2026-07-24,5,1,0.9230090379714966,SIDEWAYS_LOW_VOL
60,2026-07-27,5,0,0.9300293326377869,SIDEWAYS_LOW_VOL
61,2026-07-28,5,2,0.9300293326377869,SIDEWAYS_LOW_VOL
62,2026-07-29,5,0,0.8994448184967041,SIDEWAYS_LOW_VOL
63,2026-07-30,5,3,0.9201366305351257,SIDEWAYS_LOW_VOL
64,2026-07-31,2,2,0.3608807921409607,SIDEWAYS_LOW_VOL
65,2026-08-03,5,3,0.7108978033065796,SIDEWAYS_LOW_VOL
66,2026-08-04,5,1,0.9303027987480164,SIDEWAYS_LOW_VOL
67,2026-08-05,5,1,0.9243939518928528,SIDEWAYS_LOW_VOL
68,2026-08-06,0,0,0.7226129174232483,SIDEWAYS_LOW_VOL
69,2026-08-07,0,0,0.8120459914207458,SIDEWAYS_LOW_VOL
70,2026-08-10,0,0,0.9225447177886963,SIDEWAYS_LOW_VOL
71,2026-08-11,0,0,0.7212824821472168,SIDEWAYS_LOW_VOL
72,2026-08-12,0,0,0.9243939518928528,SIDEWAYS_LOW_VOL
