Sector,N,Accuracy,Majority_Acc,Alpha
Aviation,360,0.6694444444444444,0.65,0.019444444444444375
Retail,360,0.6083333333333333,0.5944444444444444,0.01388888888888884
Apparel,120,0.6666666666666666,0.6583333333333333,0.008333333333333304
Agriculture,120,0.625,0.6166666666666667,0.008333333333333304
Holding,480,0.575,0.5666666666666667,0.008333333333333304
Energy,480,0.5208333333333334,0.5208333333333333,1.1102230246251565e-16
Glass,120,0.6833333333333333,0.6833333333333333,0.0
Telecommunications,240,0.6916666666666667,0.6916666666666667,0.0
Construction,240,0.5625,0.5625,0.0
Insurance,120,0.5083333333333333,0.5083333333333333,0.0
Textile,120,0.8583333333333333,0.8583333333333334,-1.1102230246251565e-16
REIT,240,0.55,0.5583333333333333,-0.008333333333333304
Technology,240,0.6083333333333333,0.6166666666666667,-0.008333333333333415
White Goods,240,0.8041666666666667,0.8166666666666667,-0.012499999999999956
Cement,240,0.5708333333333333,0.5833333333333333,-0.012499999999999956
Banking,480,0.6625,0.6770833333333333,-0.014583333333333282
Defense,120,0.5416666666666666,0.5583333333333333,-0.01666666666666672
Automotive,480,0.6979166666666666,0.7291666666666667,-0.03125000000000011
Catering,120,0.48333333333333334,0.5333333333333333,-0.04999999999999999
Petrochemicals,240,0.4708333333333333,0.525,-0.054166666666666696
Beverages,240,0.44166666666666665,0.55,-0.10833333333333339
Steel,240,0.3958333333333333,0.5916666666666667,-0.19583333333333336
Polymers,53,0.3584905660377358,0.660377358490566,-0.3018867924528302
