Window,Start,End,Accuracy,Majority_Acc,Alpha
Window A,2025-10-14,2026-02-11,0.38562904027846845,0.6755345599204375,-0.2899055196419691
Window B,2025-06-16,2025-10-14,0.5513765978367748,0.556047197640118,-0.004670599803343167
Window C,2025-02-16,2025-06-16,0.5339209401709402,0.5339209401709402,0.0
Window D,2024-10-19,2025-02-16,0.446285140562249,0.554718875502008,-0.10843373493975905
PHASE 4 HOLDOUT,2026-02-11,2026-08-10,0.40769365887932546,0.6024942912348499,-0.19480063235552442
