,date,k,hits,is_3plus,is_1plus,avg_return
0,2026-05-04,5,5,1,1,0.0427940596781831
1,2026-05-05,5,5,1,1,0.057633502099962666
2,2026-05-06,5,5,1,1,0.060218491614750604
3,2026-05-07,5,5,1,1,0.11024717944152714
4,2026-05-08,5,5,1,1,0.08988146811600285
5,2026-05-11,5,5,1,1,0.08027439199255723
6,2026-05-12,5,5,1,1,0.0355468876019241
7,2026-05-13,5,5,1,1,0.07089732747777373
8,2026-05-14,5,5,1,1,0.02295228533337272
9,2026-05-15,5,5,1,1,0.08204313571304155
10,2026-05-18,5,5,1,1,0.08224754043298393
11,2026-05-19,4,4,1,1,0.02567817656691835
12,2026-05-20,5,5,1,1,0.08495864601910984
13,2026-05-21,5,5,1,1,0.11564925480521118
14,2026-05-22,5,5,1,1,0.08854601316321878
15,2026-05-25,5,5,1,1,0.08393998323291836
16,2026-05-26,5,5,1,1,0.0888278926816959
17,2026-05-27,5,5,1,1,0.058710028235620236
18,2026-05-28,5,5,1,1,0.06391820632479091
19,2026-05-29,5,5,1,1,0.04600013258408938
20,2026-06-01,5,5,1,1,0.0701110355808622
21,2026-06-02,5,5,1,1,0.046749142753608065
22,2026-06-03,5,5,1,1,0.07859220758508767
23,2026-06-04,5,5,1,1,0.09269715608168641
24,2026-06-05,5,5,1,1,0.0261085350700593
25,2026-06-08,5,5,1,1,0.06377430320568156
26,2026-06-09,5,5,1,1,0.06132234150458858
27,2026-06-10,5,5,1,1,0.056216681343687125
28,2026-06-11,5,5,1,1,0.09501797202526911
29,2026-06-12,5,5,1,1,0.07939620383579535
30,2026-06-15,5,5,1,1,0.0530948708006848
31,2026-06-16,5,5,1,1,0.15305115872426986
32,2026-06-17,5,5,1,1,0.16912743418272666
33,2026-06-18,5,5,1,1,0.04539401551953594
34,2026-06-19,5,5,1,1,0.07197986661493858
35,2026-06-22,5,5,1,1,0.05995336248601636
36,2026-06-23,5,5,1,1,0.052278334772530764
37,2026-06-24,5,5,1,1,0.03730201754079478
38,2026-06-25,5,5,1,1,0.0620343581269132
39,2026-06-26,5,5,1,1,0.08609611119006287
40,2026-06-29,5,5,1,1,0.1534758366010482
41,2026-06-30,5,5,1,1,0.10677232197487045
42,2026-07-01,5,5,1,1,0.08927570318837932
43,2026-07-02,5,5,1,1,0.03557449510429837
44,2026-07-03,5,5,1,1,0.05295460277349674
45,2026-07-06,5,5,1,1,0.058969365261948306
46,2026-07-07,5,5,1,1,0.05341927341753048
47,2026-07-08,5,5,1,1,0.06291104022256885
48,2026-07-09,5,5,1,1,0.1605582426426203
49,2026-07-10,5,5,1,1,0.05929977678695736
50,2026-07-13,5,5,1,1,0.13704149542035832
51,2026-07-14,5,5,1,1,0.09835577318350883
52,2026-07-15,1,0,0,0,-0.0112945048421193
53,2026-07-16,5,5,1,1,0.09012823473978268
54,2026-07-17,5,5,1,1,0.034109368432640216
55,2026-07-20,5,5,1,1,0.02861998810876006
56,2026-07-21,5,5,1,1,0.06386556626831048
57,2026-07-22,5,5,1,1,0.06213982214005879
58,2026-07-23,5,5,1,1,0.044522773918098724
59,2026-07-24,5,5,1,1,0.04634250432704104
60,2026-07-27,5,5,1,1,0.1195084540628987
61,2026-07-28,5,5,1,1,0.050614631771808735
62,2026-07-29,5,5,1,1,0.07480491272787758
63,2026-07-30,5,5,1,1,0.03193959195550764
64,2026-07-31,4,2,0,1,-0.26741785697357645
65,2026-08-03,5,5,1,1,0.051171441046251154
66,2026-08-04,5,5,1,1,0.06602583405638725
67,2026-08-05,5,5,1,1,0.28492133345014536
68,2026-08-06,5,0,0,0,0.0
69,2026-08-07,5,0,0,0,0.0
70,2026-08-10,5,0,0,0,0.0
71,2026-08-11,5,0,0,0,0.0
72,2026-08-12,5,0,0,0,0.0
