Horizon,Accuracy,F1,Timestamp
1d,0.5199646306261988,0.4124375662046167,2026-08-11T16:33:01.564184
3d,0.5071691183466497,0.3266179931195741,2026-08-11T16:33:02.586966
5d,0.5021684637534224,0.35569478409444694,2026-08-11T16:33:03.596535
10d,0.4810712366516534,0.3570376827485348,2026-08-11T16:33:04.616480
20d,0.519914830706642,0.43085065326088495,2026-08-11T16:33:05.663314
