bin,sample_count,positive_count,negative_count,mean_forward_return,median_forward_return,positive_rate,std,se_mean,mean_ci_lower,mean_ci_upper,pr_se,pr_ci_lower,pr_ci_upper,feature
"(0.407, 0.528]",3487,1762,1725,0.004837965077196815,0.0012890983452955,0.5053054201319186,0.06051706499623229,0.0010248301258518478,0.0028292980305271937,0.006846632123866437,0.008466805449958776,0.4887104814499994,0.5219003588138378,bb_pct
"(0.95, 1.43]",3487,1865,1622,0.004794204028920563,0.0041254726550621,0.5348437051907083,0.06831167077231583,0.0011568283782285378,0.002526820407592629,0.007061587650248497,0.008446697126418684,0.5182881788229278,0.5513992315584889,bb_pct
"(0.0274, 0.0304]",3482,1785,1697,0.004785430589260355,0.0021374581229466,0.512636415852958,0.05967140691146592,0.0010112345380106046,0.0028034108947595704,0.00676745028376114,0.008470652804243464,0.49603393635664084,0.5292388953492753,rolling_std_20
"(-0.0247, -0.0109]",3554,1805,1749,0.004719668824277078,0.0016889740972599499,0.507878446820484,0.059038846139924786,0.000990328207610147,0.00277862553736119,0.0066607121111929655,0.008386048555537295,0.4914417916516309,0.5243151019893371,return_5d
"(0.644, 0.749]",3487,1780,1707,0.0046037226292992405,0.001716421576051,0.510467450530542,0.0628703247354123,0.0010646815541194958,0.002516946783225029,0.006690498475373452,0.00846542644716922,0.4938752146940903,0.5270596863669936,bb_pct
"(54.345, 58.218]",3574,1860,1714,0.0045951859806386015,0.00277043297629495,0.5204252937884724,0.0613409805111007,0.0010260616119254485,0.0025841052212647224,0.0066062667400124805,0.008356608544860495,0.5040463410405458,0.5368042465363989,rsi_14
"(35.334, 40.262]",3573,1848,1725,0.0045845913429321105,0.0029086068447863,0.5172124265323258,0.057819177176020156,0.0009672871064451304,0.002688708614299655,0.006480474071564566,0.008359802335854705,0.5008272139540506,0.533597639110601,rsi_14
"(0.0234, 0.0252]",3482,1793,1689,0.004401431890003342,0.0021700897877205503,0.5149339460080413,0.05916633451391227,0.0010026752182452792,0.0024361884622425946,0.006366675317764089,0.008469578924691717,0.49833357131564554,0.531534320700437,rolling_std_20
"(0.101, 0.208]",3487,1762,1725,0.004385455655164416,0.0010433099172761,0.5053054201319186,0.058930890654024015,0.0009979689545301803,0.0024294365042852625,0.006341474806043568,0.008466805449958776,0.4887104814499994,0.5219003588138378,bb_pct
"(4.363, 542.885]",3459,1805,1654,0.0043773918014008316,0.0030553741283267,0.5218271176640648,0.06788422654420967,0.00115423328253578,0.0021150945676307025,0.006639689035170961,0.008493379169563551,0.5051800944917202,0.5384741408364093,macd_12_26_9
"(-0.001, 0.562]",3487,1768,1719,0.004371950368914849,0.0013698138042204,0.5070260969314597,0.06645429164164057,0.0011253744719896444,0.0021662164038151457,0.006577684334014552,0.008466446095114339,0.4904318625850356,0.5236203312778839,relative_volume
"(0.03, 0.0482]",3554,1824,1730,0.00436345856079653,0.0020351167040667,0.5132245357343838,0.05598027439410281,0.000939023175873787,0.002522973136083907,0.006203943985509152,0.008384155670481572,0.49679159062023986,0.5296574808485276,return_5d
"(0.02, 0.0217]",3482,1771,1711,0.0043524108074801246,0.00151454408350535,0.5086157380815624,0.06096386100340402,0.0010331373937368,0.0023274615157559964,0.006377360099204253,0.00847210120735664,0.49201041971514337,0.5252210564479813,rolling_std_20
"(43.982, 47.261]",3574,1735,1839,0.004282935705224034,-0.001192377162738,0.4854504756575266,0.059239293511505954,0.0009909063155379594,0.002340759326769634,0.006225112083678435,0.008360048210579545,0.46906478116479067,0.5018361701502625,rsi_14
"(-0.447, -0.132]",3458,1717,1741,0.004246843751899968,0.0,0.4965297860034702,0.06242737561427368,0.0010616040911799235,0.0021660997331873176,0.006327587770612618,0.008502508009791567,0.4798648703042787,0.5131947017026617,macd_12_26_9
"(0.00214, 0.0154]",3554,1824,1730,0.004220797537790688,0.0015886160764625001,0.5132245357343838,0.062349401767547975,0.0010458600622322287,0.0021709118158155195,0.006270683259765856,0.008384155670481572,0.49679159062023986,0.5296574808485276,return_5d
"(1.814, 4.363]",3458,1831,1627,0.004200179700310099,0.004249854113913151,0.5294968189705032,0.06351683447143934,0.0010801308027156688,0.002083123326987388,0.00631723607363281,0.00848790412223567,0.5128605268909212,0.5461331110500851,macd_12_26_9
"(0.0304, 0.0351]",3482,1776,1706,0.004052859584174896,0.0019832113545965,0.5100516944284894,0.06631052154553391,0.001123745745090777,0.0018503179237969727,0.006255401244552819,0.008471646860450342,0.4934472665820067,0.526656122274972,rolling_std_20
"(0.528, 0.644]",3487,1755,1732,0.0039060218404001314,0.0009302804091997,0.5032979638657872,0.06033578522482304,0.0010217602319143393,0.0019033717858480265,0.005908671894952236,0.008467097936828753,0.4867024519096028,0.5198934758219715,bb_pct
"(0.668, 0.75]",3486,1800,1686,0.00378803797929462,0.00283339353477615,0.5163511187607573,0.0636070928805379,0.0010773128883004033,0.0016765047182258296,0.005899571240363411,0.008463967040988094,0.4997617433604207,0.532940494161094,relative_volume
"(0.0217, 0.0234]",3483,1808,1675,0.003688541253651363,0.0028997181005612,0.5190927361469997,0.06082609203697738,0.0010306546749509421,0.0016684580907475165,0.005708624416555209,0.008465963798953842,0.5024994471010502,0.5356860251929492,rolling_std_20
"(0.75, 0.828]",3486,1767,1719,0.003645874939040457,0.0014348713962629,0.5068846815834768,0.05866811834475719,0.0009936615110494851,0.001698298377383466,0.005593451500697448,0.008467693679373589,0.49028800197190453,0.523481361195049,relative_volume
"(0.844, 0.95]",3487,1827,1660,0.0035597269857264697,0.0031520832598574,0.5239460854602811,0.06260251435562506,0.0010601463020341725,0.0014818402337394916,0.005637613737713447,0.008457566020857843,0.5073692560593998,0.5405229148611624,bb_pct
"(40.262, 43.982]",3573,1745,1828,0.003320089191963442,-0.0008763595096803,0.4883851105513574,0.05765438498072999,0.0009645302120455146,0.0014296099763542334,0.005210568407572651,0.008362503008978457,0.47199460465375964,0.5047756164489552,rsi_14
"(62.631, 68.337]",3573,1889,1684,0.0032886665664014184,0.0038146971863231,0.5286873775538763,0.06452932732328434,0.0010795447004956294,0.001172758953429985,0.005404574179372852,0.008350981050999729,0.5123194546939168,0.5450553004138358,rsi_14
"(0.828, 0.91]",3486,1732,1754,0.003253621025689261,0.0,0.4968445209409065,0.05691023373252839,0.0009638882316377721,0.0013644000916792278,0.005142841959699294,0.008468327867126335,0.48024659832133887,0.5134424435604741,relative_volume
"(0.0482, 0.0767]",3554,1839,1715,0.0031666785781183713,0.00239430695159375,0.5174451322453574,0.06264789305963137,0.0010508670087700318,0.0011069792409291088,0.005226377915307634,0.008381983307343611,0.5010164449629639,0.5338738195277508,return_5d
"(0.0182, 0.02]",3482,1776,1706,0.0030779397027058506,0.00201092038846465,0.5100516944284894,0.06121025779265926,0.0010373130107742784,0.0010448062015882649,0.005111073203823436,0.008471646860450342,0.4934472665820067,0.526656122274972,rolling_std_20
"(0.379, 0.874]",3458,1778,1680,0.002981094899361908,0.0026287988398932503,0.5141700404858299,0.06272454301373022,0.0010666575492810234,0.000890446102771102,0.005071743695952714,0.008499297592054785,0.49751141720540254,0.5308286637662573,macd_12_26_9
"(1.525, 20.0]",3486,1760,1726,0.0029504136356928697,0.0010661057804992,0.5048766494549627,0.07109949129851749,0.0012042115880276578,0.0005901589231586605,0.005310668348227078,0.00846809371102536,0.488279185781353,0.5214741131285724,relative_volume
"(-0.132, 0.0784]",3459,1716,1743,0.0027995543554215443,0.0,0.49609713790112747,0.063387701684288,0.0010777790174836314,0.0006871074811536267,0.004912001229689462,0.008501224639556305,0.47943473760759714,0.5127595381946578,macd_12_26_9
"(0.749, 0.844]",3487,1825,1662,0.0027943319671638284,0.0036819217117212,0.5233725265271006,0.06726008970290821,0.0011390203110367215,0.0005618521575318542,0.005026811776795802,0.00845802614062578,0.5067947952914741,0.5399502577627272,bb_pct
"(50.718, 54.345]",3573,1767,1806,0.002679061868971325,0.0,0.4945424013434089,0.06117876794420313,0.0010234914488746738,0.0006730186291769645,0.004685105108765686,0.008364261910456777,0.4781484479989136,0.5109363546879042,rsi_14
"(0.562, 0.668]",3486,1715,1771,0.0025975569839206884,-0.0007165741173664501,0.4919678714859438,0.06144830936998604,0.0010407495870450568,0.000557687793312377,0.004637426174529,0.008467403749152223,0.4753717601376054,0.5085639828342822,relative_volume
"(58.218, 62.631]",3573,1841,1732,0.002592971005903265,0.0021536101594561,0.5152532885530366,0.06693253504980667,0.0011197492132803332,0.0003982625478738122,0.004787679463932718,0.008360866977187263,0.4988659892777496,0.5316405878283237,rsi_14
"(0.208, 0.304]",3487,1667,1820,0.0025174318566796297,-0.0023523192289521,0.4780613708058503,0.058912244667667445,0.0009976531928760812,0.0005620315986425103,0.0044728321147167495,0.008459127537791686,0.4614814808317786,0.49464126077992204,bb_pct
"(0.0767, 0.609]",3555,1789,1766,0.0023262301753250976,0.000999953075955,0.5032348804500704,0.07835939391861158,0.0013142296642862897,-0.0002496599666760302,0.0049021203173262255,0.008385734580707871,0.48679884067188295,0.5196709202282578,return_5d
"(-2.394, -1.026]",3458,1634,1824,0.0021408289489222884,-0.003011841225076,0.4725274725274725,0.0606114388894964,0.0010307233143191602,0.00012061125285673432,0.0041610466449878425,0.008489868425726027,0.4558873304130495,0.4891676146418955,macd_12_26_9
"(47.261, 50.718]",3573,1742,1831,0.0019764974897321947,-0.0009871894144978,0.48754547998880493,0.06205548348989472,0.0010381584795172197,-5.829313012155595e-05,0.004011288109585945,0.008362164817113618,0.47115563694726226,0.5039353230303476,rsi_14
"(0.304, 0.407]",3487,1684,1803,0.001854721431514965,-0.0018518518518518,0.48293662173788354,0.06156401830557521,0.0010425598239434805,-0.00018869582341425693,0.003898138686444187,0.008462350043569671,0.46635041565248697,0.4995228278232801,bb_pct
"(0.874, 1.814]",3458,1740,1718,0.0010439110526828535,0.0008581938117834,0.503181029496819,0.05894659442415217,0.0010024119256343608,-0.0009208163215604936,0.0030086384269262007,0.00850254071937313,0.48651604968684764,0.5198460093067903,macd_12_26_9
"(0.0351, 0.205]",3483,1555,1928,-0.0005728603587366856,-0.0074867183274036,0.4464542061441286,0.08881065417900108,0.0015048330880667808,-0.0035223332113475756,0.0023766124938742047,0.008423420857216877,0.42994430126398353,0.4629641110242737,rolling_std_20
