bin,sample_count,positive_count,negative_count,mean_forward_return,median_forward_return,positive_rate,std,se_mean,mean_ci_lower,mean_ci_upper,pr_se,pr_ci_lower,pr_ci_upper,feature
"(-0.001, 35.334]",3574,2009,1565,0.012609324652344883,0.0076922591275131996,0.5621152770005596,0.06598088424984797,0.0011036741161549234,0.010446123384681233,0.014772525920008533,0.00829880035901293,0.5458496282968943,0.578380925704225,rsi_14
"(-589.308, -2.394]",3459,1905,1554,0.009801350557747663,0.0068829458144328,0.5507372072853426,0.05724708637491637,0.0009733703363195376,0.007893544698561369,0.011709156416933956,0.00845760024859211,0.5341603107981021,0.5673141037725831,macd_12_26_9
"(-0.552, 0.101]",3488,1916,1572,0.009455437468656694,0.00649350305267565,0.5493119266055045,0.059528252341638534,0.0010079404964555248,0.007479874095603865,0.011431000841709522,0.008424794356351037,0.5327993296670566,0.5658245235439525,bb_pct
"(0.0252, 0.0274]",3482,1839,1643,0.006983411589812313,0.0038297293143813,0.5281447443997702,0.05851518518308552,0.0009916403738061083,0.005039796457152341,0.008927026722472284,0.008459924674124725,0.5115632920384857,0.5447261967610547,rolling_std_20
"(-0.92, -0.0643]",3555,1856,1699,0.0068435860904126206,0.0036067896523372,0.5220815752461322,0.06835712778328262,0.0011464734552631712,0.004596498118096805,0.009090674062728437,0.008377728227201366,0.5056612279208175,0.5385019225714469,return_5d
"(68.337, 100.0]",3574,1911,1663,0.0066882412002372575,0.0049019940407104,0.5346950195858982,0.06809283101250535,0.001139001029444169,0.004455799182526686,0.008920683217947829,0.008343430369735259,0.5183418960612171,0.5510481431105793,rsi_14
"(0.0158, 0.0182]",3482,1852,1630,0.006510522927391648,0.0043970018024864,0.5318782309017805,0.050375481313031246,0.0008536991032945889,0.0048372726849342535,0.008183773169849043,0.008456120113474803,0.51530423547937,0.5484522263241911,rolling_std_20
"(0.00534, 0.0158]",3483,1884,1599,0.006183845434276465,0.0046269473377651,0.540913006029285,0.04618802953508931,0.0007826231633979155,0.004649904034016551,0.007717786834536379,0.008443732561072694,0.5243632902095826,0.5574627218489875,rolling_std_20
"(-1.026, -0.447]",3458,1814,1644,0.0060719176168274255,0.0033620203735808497,0.5245806824754193,0.05570599008467156,0.0009473040696523219,0.0042152016403088745,0.007928633593345977,0.008492431735098963,0.5079355162746254,0.5412258486762133,macd_12_26_9
"(1.258, 1.525]",3486,1873,1613,0.006027086068217874,0.0050206122745688,0.5372920252438325,0.062036579768249125,0.0010507131186757934,0.003967688355613319,0.00808648378082243,0.008444909469131583,0.5207400026843345,0.5538440478033304,relative_volume
"(-0.0643, -0.0407]",3554,1834,1720,0.005618010276905392,0.0028341754454481,0.5160382667416995,0.0592848205964034,0.0009944542273163082,0.003668879991365428,0.007567140562445357,0.008382773926670205,0.4996080298454259,0.5324685036379732,return_5d
"(0.998, 1.107]",3486,1827,1659,0.005546131696225301,0.00386941047333955,0.5240963855421686,0.05906019399928776,0.0010003020936745692,0.003585539592623145,0.007506723799827456,0.008458656570087453,0.5075174186647973,0.54067535241954,relative_volume
"(1.107, 1.258]",3486,1806,1680,0.0054374843032080275,0.0026018159599489497,0.5180722891566265,0.05897214790083272,0.0009988108575193762,0.0034798150224700504,0.007395153583946004,0.008462962952125081,0.5014848817704614,0.5346596965427917,relative_volume
"(-0.0407, -0.0247]",3554,1822,1732,0.005388009081255125,0.00254736752528755,0.5126617895329206,0.05734102758026475,0.0009618486941885876,0.0035027856406454933,0.007273232521864757,0.008384400109140707,0.4962283653190048,0.5290952137468364,return_5d
"(0.91, 0.998]",3486,1794,1692,0.005308514260259884,0.00205390036159345,0.5146299483648882,0.06210468656474295,0.0010518666430127954,0.003246855639954805,0.007370172880564963,0.008464870619131443,0.49803880195139055,0.5312210947783859,relative_volume
"(0.0154, 0.03]",3554,1850,1704,0.0051351912750192,0.0036463518547732,0.5205402363534046,0.06300868907406748,0.001056919065909539,0.0030636299058365035,0.007206752644201897,0.008380009755558094,0.5041154172325107,0.5369650554742985,return_5d
"(0.0784, 0.379]",3458,1786,1672,0.005098120029363992,0.0027051800886001504,0.5164835164835165,0.06346569836803757,0.001079261211513986,0.00298276805479658,0.007213472003931405,0.008498091060511224,0.49982725800491457,0.5331397749621185,macd_12_26_9
"(-0.0109, 0.00214]",3555,1814,1741,0.004960763492375381,0.0017528337024963,0.510267229254571,0.05617913356922643,0.0009422263261411311,0.0031139998931387636,0.006807527091611998,0.008384141885888503,0.49383431115822957,0.5267001473509125,return_5d
