sector,count,mean_return,median_return,win_rate,volatility
Technology,96,0.027371483321149224,-0.0066196136261728504,0.4791666666666667,0.15769366863479728
Apparel,52,0.02590556183963714,0.02014939765632925,0.6730769230769231,0.057420702052534876
Polymers,48,0.021886084056077254,0.01344079173343565,0.6458333333333334,0.06649415899393546
REIT,96,0.019652175259331904,0.01010051562676955,0.5729166666666666,0.058199590409599974
Telecommunications,99,0.017107544122825454,0.0095986554720683,0.6464646464646465,0.04670793281192173
Construction,99,0.01696368433707931,0.0133843304716574,0.5959595959595959,0.05029557215442274
Energy,192,0.01669186347386339,0.0027714902586175,0.5260416666666666,0.08344495567467623
Beverages,96,0.016109827553130025,0.0326807156383519,0.7083333333333334,0.14511666958719605
Aviation,150,0.015723353767079118,0.01237029822520725,0.5733333333333334,0.042016441608484875
White Goods,96,0.015104801708782645,0.0170059697537637,0.6145833333333334,0.05291920511594757
Banking,209,0.014842056755500651,0.0199305636506954,0.631578947368421,0.057207503426289955
Holding,201,0.0137060348684326,0.0133614462402176,0.6268656716417911,0.04779956914421927
Defense,51,0.013408569391573508,0.0115403766534918,0.6078431372549019,0.049032856163194895
Textile,48,0.011512989158958006,0.00531996013071065,0.5416666666666666,0.06820506670123574
Steel,97,0.010176466849327796,0.0096533175597006,0.5979381443298969,0.04711111341723269
Automotive,195,0.009229604320281488,0.0037878004262799,0.5128205128205128,0.05561857761386982
Retail,152,0.008192747578303785,0.00924091889259745,0.5657894736842105,0.05093071400959863
Petrochemicals,99,0.007384810750337035,0.0112359440196765,0.5757575757575758,0.05959299277379314
Catering,48,0.006829303230667665,0.00775711468790725,0.6041666666666666,0.03449702174180615
Cement,96,0.004349628143864329,0.00162732438322895,0.5,0.06346213435439801
Agriculture,48,-0.00038610087359280016,-0.0077405767973152,0.4375,0.06092167806710485
Insurance,48,-0.0015628499849283598,-0.0083640498103651,0.3958333333333333,0.08113763618086696
Glass,54,-0.004404096463431735,-0.0090176135617693,0.4444444444444444,0.03431686261725417
