Configuration,Feature Count,Avg Accuracy
A: Technical,31,0.4812282928132514
B: Tech + Vol,39,0.47565763784705806
C: + Sector,45,0.4913936784561952
D: + Macro,57,0.5263365975461889
E: + Fundamental,57,0.5263365975461889
F: + Macro Events,65,0.5240507922480939
G: FULL (Inc. Company KAP),66,0.5200268706714071
