,date,hits,trans_prob,quality,trust
0,2026-05-04,4,9.928830877470318e-07,53.17338709677419,1.0
1,2026-05-05,2,9.928830877470318e-07,81.05645161290322,1.0
2,2026-05-06,2,9.928830877470318e-07,86.92338709677419,1.0
3,2026-05-07,1,9.928830877470318e-07,88.85887096774194,1.0
4,2026-05-08,0,9.928830877470318e-07,68.51612903225809,1.0
5,2026-05-11,0,9.928830877470318e-07,89.16129032258063,1.0
6,2026-05-12,0,9.928830877470318e-07,84.02016129032258,1.0
7,2026-05-13,0,9.928830877470318e-07,61.762096774193544,1.0
8,2026-05-14,2,9.928830877470318e-07,57.52822580645163,0.9
9,2026-05-15,1,9.928830877470318e-07,53.41532258064517,0.5
10,2026-05-18,2,9.928830877470318e-07,50.935483870967744,0.3
11,2026-05-19,1,9.928830877470318e-07,52.46153846153846,0.1
12,2026-05-20,0,9.928830877470318e-07,49.66532258064517,0.0
13,2026-05-21,4,9.928830877470318e-07,43.49596774193548,0.2
14,2026-05-22,2,9.928830877470318e-07,47.54838709677419,0.3
15,2026-05-25,3,9.928830877470318e-07,57.58870967741936,0.5
16,2026-05-26,4,9.928830877470318e-07,49.181451612903224,0.6
17,2026-05-27,3,9.928830877470318e-07,61.5861660014395,0.5
18,2026-05-28,2,9.928830877470318e-07,79.09127789046654,0.8
19,2026-05-29,4,9.928830877470318e-07,72.53595498266048,0.8
20,2026-06-01,2,9.928830877470318e-07,69.26209677419352,0.9
21,2026-06-02,2,9.928830877470318e-07,82.87096774193549,1.3
22,2026-06-03,2,9.928830877470318e-07,71.94902833213374,1.2
23,2026-06-04,3,9.928830877470318e-07,71.16457828960283,1.2
24,2026-06-05,3,9.928830877470318e-07,62.20928482627757,1.3
25,2026-06-08,4,9.928830877470318e-07,55.53225806451615,1.1
26,2026-06-09,3,9.928830877470318e-07,46.822580645161295,1.0
27,2026-06-10,3,9.928830877470318e-07,45.612903225806456,1.0
28,2026-06-11,4,9.928830877470318e-07,44.64516129032258,0.9
29,2026-06-12,4,9.928830877470318e-07,48.27419354838711,1.0
30,2026-06-15,3,9.928830877470318e-07,65.51209677419355,1.2
31,2026-06-16,2,9.928830877470318e-07,75.25,1.3
32,2026-06-17,2,9.928830877470318e-07,73.6774193548387,1.3
33,2026-06-18,0,9.928830877470318e-07,79.06048387096774,1.4
34,2026-06-19,3,9.928830877470318e-07,73.97983870967741,1.4
35,2026-06-22,1,9.928830877470318e-07,59.282258064516135,1.4
36,2026-06-23,1,9.928830877470318e-07,48.81854838709678,1.3
37,2026-06-24,2,9.928830877470318e-07,47.54838709677421,1.1
38,2026-06-25,1,9.928830877470318e-07,43.73790322580645,0.7
39,2026-06-26,1,9.928830877470318e-07,43.97983870967742,0.7
40,2026-06-29,2,9.928830877470318e-07,44.16129032258065,0.6
41,2026-06-30,4,9.928830877470318e-07,44.46370967741936,0.5
42,2026-07-01,4,9.928830877470318e-07,50.81451612903227,0.7
43,2026-07-02,4,9.928830877470318e-07,58.01209677419356,0.5
44,2026-07-03,4,9.928830877470318e-07,58.25403225806453,0.5
45,2026-07-06,2,9.928830877470318e-07,54.08064516129034,0.6
46,2026-07-07,3,9.928830877470318e-07,54.3225806451613,0.8
47,2026-07-08,2,9.928830877470318e-07,40.592741935483865,1.1
48,2026-07-09,4,9.928830877470318e-07,40.0483870967742,1.4
49,2026-07-10,2,9.928830877470318e-07,43.61693548387099,1.6
50,2026-07-13,3,9.928830877470318e-07,41.6209677419355,1.4
51,2026-07-14,2,9.928830877470318e-07,47.79032258064516,1.3
52,2026-07-16,3,9.928830877470318e-07,72.8306451612903,1.1
53,2026-07-17,2,9.928830877470318e-07,61.76209677419353,1.1
54,2026-07-20,3,9.928830877470318e-07,72.2258064516129,1.1
55,2026-07-21,0,9.928830877470318e-07,65.33064516129032,1.1
56,2026-07-22,1,9.928830877470318e-07,73.19354838709677,1.1
57,2026-07-23,0,9.928830877470318e-07,55.83467741935485,1.0
58,2026-07-24,0,9.928830877470318e-07,56.50000000000001,1.0
59,2026-07-27,2,9.928830877470318e-07,45.97580645161291,1.0
60,2026-07-28,1,9.928830877470318e-07,44.70564516129033,0.8
61,2026-07-29,4,9.928830877470318e-07,39.38306451612903,0.6
62,2026-07-30,3,9.928830877470318e-07,39.2016129032258,0.4
63,2026-08-03,3,9.928830877470318e-07,46.45967741935485,0.1
64,2026-08-04,3,9.928830877470318e-07,58.49596774193549,0.3
65,2026-08-05,1,9.928830877470318e-07,63.092741935483865,0.3
66,2026-08-06,0,9.928830877470318e-07,67.6290322580645,0.7
67,2026-08-07,0,9.928830877470318e-07,72.10483870967742,1.0
68,2026-08-10,0,9.928830877470318e-07,66.23790322580643,1.1
69,2026-08-11,0,9.928830877470318e-07,58.707844574780054,1.3
70,2026-08-12,0,9.928830877470318e-07,62.462976539589434,1.0
