Task,Avg_Return,Excess_Ret,Hit_Rate_At_5
Binary Classifier,-0.0004267207518008599,0.0008927329952117926,0.43478260869565216
XGBRanker (LTR),0.0016846513898746652,0.0030041051368873187,0.44347826086956527
