,date,p_3plus,mode,hits
0,2026-05-04,0.8265640139579773,HIGH_CONFIDENCE,4
1,2026-05-05,0.9687684774398804,HIGH_CONFIDENCE,4
2,2026-05-06,0.8406031727790833,HIGH_CONFIDENCE,2
3,2026-05-07,0.6275651454925537,HIGH_CONFIDENCE,2
4,2026-05-08,0.2490503042936325,DEFENSIVE,2
5,2026-05-11,0.2802438735961914,DEFENSIVE,1
6,2026-05-12,0.27627238631248474,DEFENSIVE,2
7,2026-05-13,0.721084713935852,HIGH_CONFIDENCE,0
8,2026-05-14,0.64703369140625,HIGH_CONFIDENCE,0
9,2026-05-15,0.2572478950023651,DEFENSIVE,1
10,2026-05-18,0.06743024289608002,DEFENSIVE,2
11,2026-05-19,0.3023582696914673,DEFENSIVE,4
12,2026-05-20,0.42259395122528076,NORMAL,1
13,2026-05-21,0.481650173664093,NORMAL,5
14,2026-05-22,0.9177782535552979,HIGH_CONFIDENCE,4
15,2026-05-25,0.6915569305419922,HIGH_CONFIDENCE,3
16,2026-05-26,0.33044397830963135,DEFENSIVE,3
17,2026-05-27,0.7270010709762573,HIGH_CONFIDENCE,2
18,2026-05-28,0.7774079442024231,HIGH_CONFIDENCE,4
19,2026-05-29,0.7611692547798157,HIGH_CONFIDENCE,4
20,2026-06-01,0.9107441902160645,HIGH_CONFIDENCE,2
21,2026-06-02,0.9619155526161194,HIGH_CONFIDENCE,0
22,2026-06-03,0.9254825711250305,HIGH_CONFIDENCE,1
23,2026-06-04,0.7494514584541321,HIGH_CONFIDENCE,0
24,2026-06-05,0.7955798506736755,HIGH_CONFIDENCE,4
25,2026-06-08,0.4992164671421051,NORMAL,4
26,2026-06-09,0.7363908886909485,HIGH_CONFIDENCE,3
27,2026-06-10,0.6462691426277161,HIGH_CONFIDENCE,3
28,2026-06-11,0.8427894711494446,HIGH_CONFIDENCE,3
29,2026-06-12,0.43830999732017517,NORMAL,3
30,2026-06-15,0.8928817510604858,HIGH_CONFIDENCE,2
31,2026-06-16,0.9654788374900818,HIGH_CONFIDENCE,0
32,2026-06-17,0.9614737033843994,HIGH_CONFIDENCE,3
33,2026-06-18,0.9820199608802795,HIGH_CONFIDENCE,1
34,2026-06-19,0.9621304869651794,HIGH_CONFIDENCE,1
35,2026-06-22,0.8881855607032776,HIGH_CONFIDENCE,1
36,2026-06-23,0.5732883810997009,NORMAL,0
37,2026-06-24,0.37873050570487976,NORMAL,5
38,2026-06-25,0.4101897180080414,NORMAL,0
39,2026-06-26,0.27289748191833496,DEFENSIVE,4
40,2026-06-29,0.23755601048469543,DEFENSIVE,0
41,2026-06-30,0.5109128952026367,NORMAL,2
42,2026-07-01,0.3483661413192749,DEFENSIVE,2
43,2026-07-02,0.8461182117462158,HIGH_CONFIDENCE,0
44,2026-07-03,0.8573832511901855,HIGH_CONFIDENCE,2
45,2026-07-06,0.8047279715538025,HIGH_CONFIDENCE,4
46,2026-07-07,0.7707059383392334,HIGH_CONFIDENCE,1
47,2026-07-08,0.7638888359069824,HIGH_CONFIDENCE,3
48,2026-07-09,0.5664102435112,NORMAL,3
49,2026-07-10,0.7054750919342041,HIGH_CONFIDENCE,2
50,2026-07-13,0.6286248564720154,HIGH_CONFIDENCE,2
51,2026-07-14,0.7688026428222656,HIGH_CONFIDENCE,3
52,2026-07-15,0.2708905339241028,DEFENSIVE,0
53,2026-07-16,0.951099693775177,HIGH_CONFIDENCE,4
54,2026-07-17,0.7765947580337524,HIGH_CONFIDENCE,3
55,2026-07-20,0.805086612701416,HIGH_CONFIDENCE,2
56,2026-07-21,0.9277189373970032,HIGH_CONFIDENCE,0
57,2026-07-22,0.8761641979217529,HIGH_CONFIDENCE,0
58,2026-07-23,0.6449301838874817,HIGH_CONFIDENCE,1
59,2026-07-24,0.8158801198005676,HIGH_CONFIDENCE,0
60,2026-07-27,0.72597736120224,HIGH_CONFIDENCE,0
61,2026-07-28,0.664922297000885,HIGH_CONFIDENCE,2
62,2026-07-29,0.664922297000885,HIGH_CONFIDENCE,3
63,2026-07-30,0.6154530644416809,HIGH_CONFIDENCE,2
64,2026-07-31,0.7919040322303772,HIGH_CONFIDENCE,2
65,2026-08-03,0.7474570870399475,HIGH_CONFIDENCE,0
66,2026-08-04,0.9397129416465759,HIGH_CONFIDENCE,2
67,2026-08-05,0.9629273414611816,HIGH_CONFIDENCE,0
68,2026-08-06,0.9478114247322083,HIGH_CONFIDENCE,0
69,2026-08-07,0.9366961121559143,HIGH_CONFIDENCE,0
70,2026-08-10,0.9449822306632996,HIGH_CONFIDENCE,0
71,2026-08-11,0.9236692190170288,HIGH_CONFIDENCE,0
72,2026-08-12,0.735344648361206,HIGH_CONFIDENCE,0
