date,pct_above_sma20,pct_above_sma50,pct_above_sma200,pct_rsi_above_50,pct_rsi_below_30,pct_new_20d_high,pct_new_20d_low,pct_box_breakout_up,pct_box_breakout_down,pct_stocks_positive_1d,pct_stocks_positive_3d,pct_stocks_positive_5d,pct_stocks_macd_positive,pct_stocks_volume_expansion,pct_stocks_relative_strength_positive,advancing_declining_ratio,breadth_momentum,breadth_acceleration,breadth_extreme
2020-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-08-13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-08-14,0.0,0.0,0.0,0.0,0.0027548209366391185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2020-08-17,0.0,0.0,0.0,0.44352617079889806,0.4986225895316804,0.0,0.0,0.0,0.0,0.44352617079889806,0.0,0.0,0.0,0.0,0.44352617079889806,0.8895027624260249,0.0,0.0,1
2020-08-18,0.0,0.0,0.0,0.4793388429752066,0.4765840220385675,0.0,0.0,0.0,0.0,0.5564738292011019,0.0,0.0,0.0,0.0,0.5564738292011019,1.463768115931422,0.0,0.0,1
2020-08-19,0.0,0.0,0.0,0.512396694214876,0.42699724517906334,0.0,0.0,0.0,0.0,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,0.6363636363636364,2.0810810810623326,0.0,0.0,1
2020-08-20,0.0,0.0,0.0,0.5179063360881543,0.3746556473829201,0.0,0.0,0.0,0.0,0.4931129476584022,0.6694214876033058,0.0,0.0,0.0,0.4931129476584022,1.0783132530055524,0.0,0.0,1
2020-08-21,0.0,0.0,0.0,0.5041322314049587,0.371900826446281,0.0,0.0,0.0,0.0,0.2865013774104683,0.559228650137741,0.6033057851239669,0.0,0.0,0.2865013774104683,0.42622950819497446,0.0,0.0,1
2020-08-24,0.0,0.0,0.0,0.5316804407713499,0.3333333333333333,0.0,0.0,0.0,0.0,0.5261707988980716,0.43526170798898073,0.6253443526170799,0.0,0.0,0.5261707988980716,1.2905405405318207,0.0,0.0,1
2020-08-25,0.0,0.0,0.0,0.5041322314049587,0.36363636363636365,0.0,0.0,0.0,0.0,0.2727272727272727,0.3333333333333333,0.509641873278237,0.0,0.0,0.2727272727272727,0.395999999998416,0.0,0.0,1
2020-08-26,0.0,0.0,0.0,0.5234159779614325,0.33608815426997246,0.0,0.0,0.0,0.0,0.5454545454545454,0.45179063360881544,0.418732782369146,0.0,0.0,0.5454545454545454,1.365517241369893,0.0,0.0,1
2020-08-27,0.0,0.0,0.0,0.5509641873278237,0.2865013774104683,0.0,0.0,0.0,0.0,0.743801652892562,0.5289256198347108,0.5013774104683195,0.0,0.0,0.743801652892562,3.5526315789006233,0.0,0.0,1
2020-08-28,0.0,0.0,0.0,0.5454545454545454,0.2534435261707989,0.0,0.0,0.0,0.0,0.3746556473829201,0.6887052341597796,0.5785123966942148,0.0,0.0,0.3746556473829201,0.6666666666633987,0.0,0.0,1
2020-08-31,0.0,0.0,0.0,0.5206611570247934,0.256198347107438,0.0,0.0,0.0,0.0,0.3608815426997245,0.4986225895316804,0.45454545454545453,0.0,0.0,0.3608815426997245,0.5981735159790038,0.0,0.0,1
2020-09-01,0.0,0.0,0.0,0.5454545454545454,0.2231404958677686,0.0,0.0,0.0,0.0,0.5399449035812672,0.45454545454545453,0.6418732782369146,0.0,0.0,0.5399449035812672,1.361111111101659,0.0,0.0,1
2020-09-02,0.0,0.0,0.0,0.559228650137741,0.21763085399449036,0.0,0.0,0.0,0.0,0.4628099173553719,0.46831955922865015,0.6308539944903582,0.0,0.0,0.4628099173553719,0.9385474860282763,0.0,0.0,1
2020-09-03,0.0,0.0,0.0,0.5274725274725275,0.2032967032967033,0.0,0.0,0.0,0.0,0.3543956043956044,0.5,0.45054945054945056,0.0,0.0,0.3543956043956044,0.5810810810784637,0.0,0.0,1
